normalized_product,product_label,item_name,menu_section,price_eur,price_type,venue_name,address,city,latitude,longitude,source_platform,confidence,source_url,retrieved_at
spritz,Spritz,Chandon Garden Spritz •,Bollicine,0.75,menu,Papeete,Viale Liguria 50,Milano,45.443517,9.175323,web_extract,high,https://www.papeetebeach.com/wp-content/uploads/2026/05/2026-MENU_A5_Papeete-Maggio-2026.pdf,2026-05-31T19:03:58.101062+00:00
spritz,Spritz,Aperol Spritz,APERITIVI,3.5,menu,BAR PICCHIO,"Via Melzo, 11, Milan, Metropolitan City of Milan, Italy",Milano,45.4735028,9.2093181,mycia,high,https://www.mycia.it/menu/milano/bar-picchio-sw4iKzwlv,2026-05-30T17:20:28.309421+00:00
spritz,Spritz,BIBITE - Pub / Birreria SPRITZ NAVIGLI MILANO - Milano - Menu Digitale Vai alla ,,4.0,menu,Spritz,Ripa di Porta Ticinese 9,Milano,45.4519849,9.1765944,direct_website,high,https://www.leggimenu.it/menu/spritznaviglimilano/248256,2026-05-31T10:41:45Z
spritz,Spritz,Spritz,,4.0,menu,Sicilian,Via del Carmine 7 20121.0,Milano,45.4702646,9.1865609,direct_website,high,https://www.sicilianbrera.com,2026-05-30T22:25:39Z
spritz,Spritz,Spritz,,4.0,menu,Headbangers,Via Tito Livio 33a,Milano,45.4505975,9.2199534,direct_website,high,https://headbangerspub.com,2026-05-30T22:25:39Z
spritz,Spritz,Aperol Spritz,APERITIVI,5.0,menu,EMPORIUM SMOKE & COFFEE,"Viale Monte Grappa, 2, Milano, MI, Italia",Milano,45.4806915,9.1920596,mycia,high,https://www.mycia.it/menu/milano/emporium-smoke-coffee-vRAbej46x,2026-05-30T17:23:38.949456+00:00
spritz,Spritz,Aperol Spritz,SPRITZ,5.0,menu,Lucky Bar,"Via Antonio Pollaiuolo, 5, Milano, MI, Italia",Milano,45.4889465,9.1872656,mycia,high,https://www.mycia.it/menu/milano/lucky-bar-JwUPcTrY2,2026-05-30T17:27:44.781487+00:00
spritz,Spritz,Campari spritz,I NOSTRI SPRITZ,5.0,menu,MiVàLà - Ordini,"Viale Piero e Alberto Pirelli, Milano, MI, Italia",Milano,45.5154539,9.2111493,mycia,high,https://www.mycia.it/menu/milano/mivala-ordini-DifJPYLda,2026-05-30T17:28:46.491948+00:00
spritz,Spritz,Menu - La Birrofila Chi siamo Shop Il birrificio News Menù Pranzo Sera Contatti ,,5.0,menu,La Birrofila,Via privata Sant'Ampellio 14,Milano,45.4382102,9.1845842,direct_website,high,https://labirrofila.com/menu/sera/,2026-05-31T10:43:41Z
spritz,Spritz,MYST • Craft Beer & Food Beer Menù Info Beer * On Tap Bottles & Cans Grun Diciot,,5.0,menu,Myst,,Milano,45.4839246,9.2345802,direct_website,high,https://www.mystmilano.it/,2026-05-31T10:59:40Z
spritz,Spritz,#SPRITZETTINO ? RINFORZA L&#8217,,5.0,menu,Victoriasclub,,Milano,45.4642,9.1900,direct_website,medium,https://www.victoriasclub.it/aperitivo-servito/,2026-05-31T11:43:07Z
spritz,Spritz,"Soft Drinks Coca Cola 0,33 l €5,00 Coca Cola Zero 0,33 l €5,00 Fanta 0,33 l €5,0",,5.0,menu,Caffefernanda,,Milano,45.4642,9.1900,direct_website,medium,https://www.caffefernanda.com/menu/,2026-05-31T11:43:07Z
spritz,Spritz,Campari Spritz,GRANDI CLASSICI,6.0,menu,Dabass,"Via Piacenza, 13, Milan, Metropolitan City of Milan, Italy",Milano,45.4494508,9.2051315,mycia,high,https://www.mycia.it/menu/milano/dabass-wz6Ay0kfg,2026-05-30T17:22:58.714574+00:00
spritz,Spritz,Campari Spritz,APERITIVI,6.0,menu,FìGod Save The Food Duomo,"Piazza del Duomo, 20122 Milano MI, Italia",Milano,45.4646927,9.1889986,mycia,high,https://www.mycia.it/menu/milano/figod-save-the-food-duomo-gfbFV9YZM,2026-05-30T17:23:59.089789+00:00
spritz,Spritz,Campari Spritz,APERITIVI,6.0,menu,God Save The Food Brera,"Piazza del Carmine, 1, Milan, Metropolitan City of Milan, Italy",Milano,45.4700469,9.1853616,mycia,high,https://www.mycia.it/menu/milano/god-save-the-food-brera-698a7tJWo,2026-05-30T17:24:47.286664+00:00
spritz,Spritz,Campari Spritz,APERITIVI,6.0,menu,God Save The Food Piave,"Viale Piave, 18, Milan, Metropolitan City of Milan, Italy",Milano,45.4705707,9.2070789,mycia,high,https://www.mycia.it/menu/milano/god-save-the-food-piave-OHtMIG9j7,2026-05-30T17:24:48.825585+00:00
spritz,Spritz,Campari Spritz,APERITIVI,6.0,menu,God Save The Food Tortona,"Via Tortona, 34, Milan, Metropolitan City of Milan, Italy",Milano,45.4527427,9.1654003,mycia,high,https://www.mycia.it/menu/milano/god-save-the-food-tortona-QpVDaj6aP,2026-05-30T17:24:50.369810+00:00
spritz,Spritz,Campari Spritz,SPRITZ,6.0,menu,Lucky Bar,"Via Antonio Pollaiuolo, 5, Milano, MI, Italia",Milano,45.4889465,9.1872656,mycia,high,https://www.mycia.it/menu/milano/lucky-bar-JwUPcTrY2,2026-05-30T17:27:44.781487+00:00
spritz,Spritz,Raspberry spritz,I NOSTRI SPRITZ,6.0,menu,MiVàLà - Ordini,"Viale Piero e Alberto Pirelli, Milano, MI, Italia",Milano,45.5154539,9.2111493,mycia,high,https://www.mycia.it/menu/milano/mivala-ordini-DifJPYLda,2026-05-30T17:28:46.491948+00:00
spritz,Spritz,Spritz Campari,COCKTAILS,6.0,menu,Tuttaltrosuono e il Vino,"Via Conte Rosso, 23, 20134 Milano, Milano MI, Italia",Milano,45.4836682,9.242052,mycia,high,https://www.mycia.it/menu/milano/tuttaltrosuono-e-il-vino-PZXddhqT9,2026-05-30T17:34:58.074373+00:00
spritz,Spritz,APEROL SPRITZ,,6.0,menu,Caffè Inn,,Milano,45.4642,9.1900,direct_website,high,https://cdn.website.dish.co/media/62/a9/7606882/Menu-Aperitivo.pdf,2026-05-31T10:41:45Z
spritz,Spritz,"Extra Dry CALICE BOTTIGLIA 6,00 € 20,00 € Vino bianco chiedi allo staff CALICE B",,6.0,menu,labirrofila.com,,Milano,45.4642,9.1900,direct_website,medium,https://labirrofila.com/menu/sera/,2026-05-31T11:43:07Z
spritz,Spritz,Aperol Spritz,COCKTAILS,6.0,menu,Caffè Inn International Bistrot,,Milano,45.4642,9.1900,eatbu,high,https://cdn.website.dish.co/media/62/a9/7606882/Menu-Aperitivo.pdf,2026-05-31T10:31:16Z
spritz,Spritz,Spritz Aperol,COCKTAILS APERITIVO (12),6.0,menu,Woodstock,Via Lodovico il Moro 3,Milano,45.4474586,9.1553746,other,high,https://www.qodeup.com/woodstock,2026-05-31T13:16:11Z
spritz,Spritz,VINI ROSSI - Pub / Birreria SPRITZ NAVIGLI MILANO - Milano - Menu Digitale Vai a,,6.0,menu,Spritz,Ripa di Porta Ticinese 9,Milano,45.4519849,9.1765944,direct_website,high,https://www.leggimenu.it/menu/spritznaviglimilano/248266,2026-05-31T10:41:45Z
spritz,Spritz,Campari spritz,Long Drinks,6.0,menu,Los Locos,Via Novara 196 20153 Milano,Milano,45.486303,9.080195,leggimenu,high,https://www.leggimenu.it/menu/loslocosmilano/265711,2026-05-31T09:14:42Z
spritz,Spritz,SPRITZ,,6.0,menu,FOD,"Via Paolo Sarpi, 53, Milano, Italia",Milano,45.480983,9.173182,leggimenu,high,https://www.leggimenu.it/menu/barfod/805,2026-05-31T09:14:42Z
spritz,Spritz,Spritz Bianco Veneto,,6.0,menu,La Vineria in Ripa,"Via Casale, 4, Milano, MI, Italia",Milano,45.451869,9.170347,leggimenu,high,https://www.leggimenu.it/menu/lavineriainripa/29653,2026-05-31T09:14:42Z
spritz,Spritz,Spritz (Campari o Aperol),,6.0,menu,Bar Taita,"Largo Oreste Murani 2, 20133, Milano",Milano,45.4730232,9.2351916,leggimenu,high,https://www.leggimenu.it/menu/bartaita/220611,2026-06-01T10:25:38Z
spritz,Spritz,Aperol Spritz,,6.0,menu,Bar Il Capitano MilANO,"Via Ascanio Sforza 31, 20136, Milano",Milano,45.4492043,9.1776156,leggimenu,high,https://www.leggimenu.it/menu/capitanomilano/210347,2026-06-01T10:25:38Z
spritz,Spritz,Spritz Aperol/Campari,,6.0,menu,Tipota,"Via Francesco Brioschi 32, 20136, Milano",Milano,45.4453487,9.1806705,leggimenu,high,https://www.leggimenu.it/menu/tipota/94099,2026-06-01T10:25:38Z
spritz,Spritz,Spritz,,6.0,menu,Vinyl Cafè,"Via Montello 165, 20831, Seregno",Milano,45.6504215,9.2304806,leggimenu,high,https://www.leggimenu.it/menu/vinyl/114335,2026-06-01T10:25:38Z
spritz,Spritz,APEROL SPRITZ,SPRITZ,6.0,menu,WHY NOT?,"Via Elio Adriano 94, 20128, Lombardia",Milano,45.5167178,9.2444684,leggimenu,high,https://www.leggimenu.it/menu/why-not/251220,2026-06-01T10:25:38Z
spritz,Spritz,Aperol,,6.0,menu,Myst,,Milano,45.4839246,9.2345802,direct_website,high,https://www.mystmilano.it/menu,2026-05-30T22:25:39Z
spritz,Spritz,Aperol Spritz,PRE - DINNER DRINK,7.0,menu,Barz'8 Coffee drink e food,"Via Casale, 3a, Milano, MI, Italia",Milano,45.4520751,9.1704579,mycia,high,https://www.mycia.it/menu/milano/barz-8-coffee-drink-e-food-iZN8bUfMT,2026-05-30T17:20:32.954697+00:00
spritz,Spritz,CAMPARI SPRITZ,CLASSIC COCKTAIL,7.0,menu,The Saints and the Scholars,"Via Giuseppe Govone, 23, Milano, MI, Italia",Milano,45.4890912,9.167452,mycia,high,https://www.mycia.it/menu/milano/the-saints-and-the-scholars-4XjUMOaID,2026-05-30T17:34:16.093502+00:00
spritz,Spritz,Campari Spritz,APERITIVI,7.0,menu,Tutto bene grazie,"Corso Magenta, 30, Milan, Metropolitan City of Milan, Italy",Milano,45.4661431,9.1774351,mycia,high,https://www.mycia.it/menu/milano/tutto-bene-grazie-8bVibf6xG,2026-05-30T17:34:59.627919+00:00
spritz,Spritz,Spritz Aperol,SPRITZ,7.0,menu,Barbisa 1920,Via Lodovico Muratori 11 20135.0,Milano,45.4521021,9.2054417,direct_website,high,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,2026-05-31T10:14:27Z
spritz,Spritz,SPRITZ APEROL 7€,,7.0,menu,Frida,,Milano,45.4887512,9.187111,direct_website,high,https://www.fridaisola.it/documents/menu-sera-frida.pdf,2026-05-31T10:32:18Z
spritz,Spritz,Cedro Spritz,COCKTAILS APERITIVO (12),7.0,menu,Woodstock,Via Lodovico il Moro 3,Milano,45.4474586,9.1553746,other,high,https://www.qodeup.com/woodstock,2026-05-31T13:16:11Z
spritz,Spritz,SPRITZ PARTICOLARI - Pub / Birreria SPRITZ NAVIGLI MILANO - Milano - Menu Digita,,7.0,menu,Spritz,Ripa di Porta Ticinese 9,Milano,45.4519849,9.1765944,direct_website,high,https://www.leggimenu.it/menu/spritznaviglimilano/248242,2026-05-31T10:43:41Z
spritz,Spritz,Spritz,,7.0,menu,Morna,Via Tortona 30/A,Milano,45.4527629,9.1663116,eatbu,high,https://cdn.website.dish.co/media/b3/24/6613965/Quick-Drinks.pdf,2026-06-01T08:45:52Z
