source,venue_name,address,city,latitude,longitude,venue_type,target_classification,phone,website,opening_hours,nil_quartiere,all_names,osm_amenity
agent7_pietro,L'angolo dell'aperitivo,"Via FIAMMA GALVANO 20, 20129, Milano",Milano,45.464835,9.211294,aperitivo_bar,AMBIGUOUS_TO_REVIEW,,,Mo-Su 17:00-22:00,XXII MARZO,L'angolo dell'aperitivo,
agent7_pietro,4mat bistrot,"Via THAON DI REVEL GENOVA 5N03, 20159, Milano",Milano,45.491214,9.188842,bistro,AMBIGUOUS_TO_REVIEW,,,Mo-Su 12:00-00:00,ISOLA,4mat bistrot,
agent7_pietro,Aimo e Nadia BistRo,"Via Matteo Bandello, 14, 20123, Milano",Milano,45.463758,9.166735,bistro,TARGET,,,Mo-Su 12:00-00:00,,Aimo e Nadia BistRo,
agent7_pietro,Angelo's bistrot,"Via Savona, 55, 20144, Milano",Milano,45.452947,9.160561,bistro,TARGET,,,Mo-Su 12:00-00:00,,Angelo's bistrot,
agent7_pietro,Anyma Bistrot,"Via Pietro Maroncelli, 15, 20154, Milano",Milano,45.48335,9.182674,bistro,TARGET,,,Mo-Su 12:00-00:00,,Anyma Bistrot,
agent7_pietro,Atmosfera Bistrot,"Via Gaetano Previati, 72, 20149, Milano",Milano,45.469966,9.146458,bistro,TARGET,,,Mo-Su 12:00-00:00,,Atmosfera Bistrot,
agent7_pietro,B Di Bistrot,"Via Fra Luca Pacioli, 9, 20144, Milano",Milano,45.456354,9.170955,bistro,TARGET,,,Mo-Su 12:00-00:00,,B Di Bistrot,
agent7_pietro,B42 Urban Bistrot Lounge,Via BALILLA 42,Milano,45.444421,9.182439,bistro,TARGET,,,Mo-Su 12:00-00:00,,B42 Urban Bistrot Lounge,
agent7_pietro,Barabba Pizza Bistrot,"Via Mosè Bianchi, 3, 20149, Milano",Milano,45.470774,9.15119,bistro,TARGET,,,Mo-Su 12:00-00:00,,Barabba Pizza Bistrot,
agent7_pietro,Belle Donne Bistrot,"Via Tortona, 28, I-20144, Milano",Milano,45.457915,9.161273,bistro,TARGET,,,Mo-Su 12:00-00:00,,Belle Donne Bistrot,
agent7_pietro,Bistro Vico 38 - Restaurant Cafè,"Via Gian Battista Vico, 38, 20123, Milano",Milano,45.462883,9.167838,bistro,TARGET,,,Mo-Su 12:00-00:00,,Bistro Vico 38 - Restaurant Cafè,
agent7_pietro,Bistrot,,Milano,45.515963,9.212297,bistro,TARGET,,,Mo-Su 12:00-00:00,,Bistrot,
agent7_pietro,Bistrot 66,"Via Giulio Cesare Procaccini, 66, 20154, Milano",Milano,45.481344,9.16668,bistro,TARGET,,,"Mo-Th 12:00-15:00, 18:00-00:30; Fr 12:00-15:00, 18:00-02:30; Sa 18:00-02:30",,Bistrot 66 | Bistrot66,
agent7_pietro,Bistrot a Casa,"Via Salasco, 34, 20136, Milano",Milano,45.450482,9.196134,bistro,TARGET,,,Mo-Su 12:00-00:00,,Bistrot a Casa,
agent7_pietro,Bistrot Bertarelli 1894,"Corso Italia, 10, 20122, Milano",Milano,45.459023,9.187686,bistro,TARGET,,,Mo-Su 12:00-00:00,,Bistrot Bertarelli 1894,
agent7_pietro,Bistrot Caffè Vintage,,Milano,45.494385,9.125232,bistro,TARGET,,,Mo-Su 12:00-00:00,,Bistrot Caffè Vintage,
agent7_pietro,BISTROT DOLCE LUNA,"Via Gaetano Airaghi, 131, 20153, Milano",Milano,45.472051,9.077937,bistro,TARGET,,,Mo-Su 12:00-00:00,,BISTROT DOLCE LUNA,
agent7_pietro,Bistrot Duomo,,Milano,45.463532,9.189795,bistro,TARGET,,,Mo-Su 12:00-00:00,,Bistrot Duomo,
