source_platform,source_venue_id,venue_name,venue_url,menu_section,item_name,item_description,raw_price,normalized_price_eur,currency,price_type,item_type,normalized_product,confidence,allergens,retrieved_at,source_url
direct_website,barbisa_1920,Barbisa 1920,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,SPRITZ,Spritz Aperol,,€ 7.00,7,EUR,menu,drink,spritz,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf
direct_website,barbisa_1920,Barbisa 1920,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,SPRITZ,Spritz Campari,,€ 8.00,8,EUR,menu,drink,spritz,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf
direct_website,barbisa_1920,Barbisa 1920,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,SPRITZ,Spritz Etna,,€ 9.00,9,EUR,menu,drink,spritz,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf
direct_website,barbisa_1920,Barbisa 1920,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,SPRITZ,Spritz Hugo,,€ 10.00,10,EUR,menu,drink,spritz,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf
direct_website,barbisa_1920,Barbisa 1920,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,CLASSICI IBA,Bitter Campari,,€ 10.00,10,EUR,menu,drink,americano,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf
direct_website,barbisa_1920,Barbisa 1920,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,CLASSICI IBA,Bitter Campari Shake,,€ 12.00,12,EUR,menu,drink,custom_cocktail,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf
direct_website,barbisa_1920,Barbisa 1920,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,CLASSICI IBA,Sbagliato,,€ 12.00,12,EUR,menu,drink,negroni,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf
direct_website,barbisa_1920,Barbisa 1920,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,CLASSICI IBA,Negroni,,€ 15.00,15,EUR,menu,drink,negroni,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf
direct_website,barbisa_1920,Barbisa 1920,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,CLASSICI IBA,Mojito,,€ 10.00,10,EUR,menu,drink,mojito,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf
direct_website,barbisa_1920,Barbisa 1920,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,CLASSICI IBA,Margarita,,€ 12.00,12,EUR,menu,drink,margarita,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf
direct_website,harp_pub_guinness,Harp Pub Guinness,https://cdn.website.dish.co/media/78/d1/7737175/Menu-2024.pdf,BIRRE SPINA,Birra alla spina piccola,,€ 4.00,4.0,EUR,menu,drink,beer_draft_small,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/78/d1/7737175/Menu-2024.pdf
direct_website,harp_pub_guinness,Harp Pub Guinness,https://cdn.website.dish.co/media/78/d1/7737175/Menu-2024.pdf,BIRRE SPINA,Birra alla spina media,,€ 6.00,6.0,EUR,menu,drink,beer_draft_medium,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/78/d1/7737175/Menu-2024.pdf
direct_website,harp_pub_guinness,Harp Pub Guinness,https://cdn.website.dish.co/media/78/d1/7737175/Menu-2024.pdf,BIRRE BOTTIGLIA,33 cl | 6.0% | Mele e lamponi,,€ 6.00,6.0,EUR,menu,drink,beer_bottle,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/78/d1/7737175/Menu-2024.pdf
direct_website,harp_pub_guinness,Harp Pub Guinness,https://cdn.website.dish.co/media/78/d1/7737175/Menu-2024.pdf,BIRRE BOTTIGLIA,33cl | 4.5% | chiara | habanero mango gose,,€ 5.00,5.0,EUR,menu,drink,beer_bottle,high,,2026-05-31T10:14:27Z,https://cdn.website.dish.co/media/78/d1/7737175/Menu-2024.pdf
