source_platform,source_venue_id,venue_name,venue_url,menu_section,item_name,item_description,raw_price,normalized_price_eur,currency,price_type,item_type,normalized_product,confidence,allergens,retrieved_at,source_url
eatbu,caff_inn_international_bistrot,Caffè Inn International Bistrot,https://caffe-inn-international-bistrot.eatbu.com,COCKTAILS,Negroni,Gin + campari + martini rosso,€ 7.00,7.0,EUR,menu,drink,negroni,high,,2026-05-31T10:31:16Z,https://cdn.website.dish.co/media/62/a9/7606882/Menu-Aperitivo.pdf
eatbu,caff_inn_international_bistrot,Caffè Inn International Bistrot,https://caffe-inn-international-bistrot.eatbu.com,COCKTAILS,Gin Tonic,Gin + tonica,€ 7.00,7.0,EUR,menu,drink,gin_tonic,high,,2026-05-31T10:31:16Z,https://cdn.website.dish.co/media/62/a9/7606882/Menu-Aperitivo.pdf
eatbu,caff_inn_international_bistrot,Caffè Inn International Bistrot,https://caffe-inn-international-bistrot.eatbu.com,COCKTAILS,Mojito,Rum bianco + lime + zucchero + menta,€ 7.00,7.0,EUR,menu,drink,mojito,high,,2026-05-31T10:31:16Z,https://cdn.website.dish.co/media/62/a9/7606882/Menu-Aperitivo.pdf
eatbu,caff_inn_international_bistrot,Caffè Inn International Bistrot,https://caffe-inn-international-bistrot.eatbu.com,COCKTAILS,Aperol Spritz,Spumante + aperol,€ 6.00,6.0,EUR,menu,drink,spritz,high,,2026-05-31T10:31:16Z,https://cdn.website.dish.co/media/62/a9/7606882/Menu-Aperitivo.pdf
eatbu,caff_inn_international_bistrot,Caffè Inn International Bistrot,https://caffe-inn-international-bistrot.eatbu.com,COCKTAILS,Moscow Mule,Vodka + ginger beer + lime,€ 6.00,6.0,EUR,menu,drink,moscow_mule,high,,2026-05-31T10:31:16Z,https://cdn.website.dish.co/media/62/a9/7606882/Menu-Aperitivo.pdf
eatbu,caff_inn_international_bistrot,Caffè Inn International Bistrot,https://caffe-inn-international-bistrot.eatbu.com,COCKTAILS,Margarita,Tequila + triple sec + lime,€ 6.00,6.0,EUR,menu,drink,margarita,high,,2026-05-31T10:31:16Z,https://cdn.website.dish.co/media/62/a9/7606882/Menu-Aperitivo.pdf
eatbu,caff_inn_international_bistrot,Caffè Inn International Bistrot,https://caffe-inn-international-bistrot.eatbu.com,COCKTAILS,Caipirinha,Cachaca + lime + zucchero di canna,€ 6.00,6.0,EUR,menu,drink,custom_cocktail,high,,2026-05-31T10:31:16Z,https://cdn.website.dish.co/media/62/a9/7606882/Menu-Aperitivo.pdf
eatbu,the_growler_milano,The Growler Milano,https://thegrowlermilano.eatbu.com,COCKTAILS & CO.,NEGRONI / 9,"COCKTAILS & CO. NEGRONI / 9 AMERICANO – SBAGLIATO / 8 SPRITZ APEROL, CAMPARI, SELECT / 8 MOSCOW MULE / 9",€ 9.00,9.0,EUR,menu,drink,negroni,high,,2026-05-31T10:29:09Z,https://cdn.website.dish.co/media/29/4f/8728478/THE-MENU.pdf
eatbu,the_growler_milano,The Growler Milano,https://thegrowlermilano.eatbu.com,COCKTAILS & CO.,"SPRITZ APEROL, CAMPARI, SELECT / 8","AMERICANO – SBAGLIATO / 8 SPRITZ APEROL, CAMPARI, SELECT / 8 MOSCOW MULE / 9 BLOODY MARY / 8 GIN TONIC / 10",€ 8.00,8.0,EUR,menu,drink,spritz,high,,2026-05-31T10:29:09Z,https://cdn.website.dish.co/media/29/4f/8728478/THE-MENU.pdf
eatbu,the_growler_milano,The Growler Milano,https://thegrowlermilano.eatbu.com,COCKTAILS & CO.,MOSCOW MULE / 9,"SPRITZ APEROL, CAMPARI, SELECT / 8 MOSCOW MULE / 9 BLOODY MARY / 8 GIN TONIC / 10 GIN TONIC PREMIUM / 12",€ 9.00,9.0,EUR,menu,drink,moscow_mule,high,,2026-05-31T10:29:09Z,https://cdn.website.dish.co/media/29/4f/8728478/THE-MENU.pdf
