source_platform,source_venue_id,venue_name,venue_url,menu_section,item_name,item_description,raw_price,normalized_price_eur,currency,price_type,item_type,normalized_product,confidence,allergens,retrieved_at,source_url
direct_website,b_cafè,B Cafè,https://www.bfamilygroup.it/cafe-menu/,,espresso coffe - espresso coffee with milk,espresso coffe - espresso coffee with milk,€ 1.0,1.0,EUR,menu,drink,espresso,medium,,2026-06-01T14:38:53Z,https://www.bfamilygroup.it/cafe-menu/
direct_website,b_cafè,B Cafè,https://www.bfamilygroup.it/cafe-menu/,,milk stained with espresso,milk stained with espresso,€ 3.0,3.0,EUR,menu,drink,espresso,medium,,2026-06-01T14:38:53Z,https://www.bfamilygroup.it/cafe-menu/
direct_website,b_cafè,B Cafè,https://www.bfamilygroup.it/cafe-menu/,,cappuccino,cappuccino,€ 1.5,1.5,EUR,menu,drink,cappuccino,medium,,2026-06-01T14:38:53Z,https://www.bfamilygroup.it/cafe-menu/
direct_website,b_cafè,B Cafè,https://www.bfamilygroup.it/cafe-menu/,,soya cappuccino,soya cappuccino,€ 2.5,2.5,EUR,menu,drink,cappuccino,medium,,2026-06-01T14:38:53Z,https://www.bfamilygroup.it/cafe-menu/
direct_website,b_cafè,B Cafè,https://www.bfamilygroup.it/cafe-menu/,,glass of wine,glass of wine,€ 7,7.0,EUR,menu,drink,wine_glass,medium,,2026-06-01T14:38:53Z,https://www.bfamilygroup.it/cafe-menu/
mycia,bar_magenta,Bar Magenta,https://www.mycia.it/menu/milano/bar-magenta-iW4gXgZMV,APERITIVI,Americano,Americano,6,6.0,EUR,menu,drink,americano,medium,,2026-06-01T14:38:53Z,https://www.mycia.it/menu/milano/bar-magenta-iW4gXgZMV
mycia,bar_magenta,Bar Magenta,https://www.mycia.it/menu/milano/bar-magenta-iW4gXgZMV,BIRRE ALLA SPINA,HEINEKEN piccola,HEINEKEN piccola,3.5,3.5,EUR,menu,drink,beer_heineken,medium,,2026-06-01T14:38:53Z,https://www.mycia.it/menu/milano/bar-magenta-iW4gXgZMV
mycia,bar_magenta,Bar Magenta,https://www.mycia.it/menu/milano/bar-magenta-iW4gXgZMV,BIRRE ALLA SPINA,HEINEKEN media,HEINEKEN media,5,5.0,EUR,menu,drink,beer_heineken,medium,,2026-06-01T14:38:53Z,https://www.mycia.it/menu/milano/bar-magenta-iW4gXgZMV
mycia,bar_magenta,Bar Magenta,https://www.mycia.it/menu/milano/bar-magenta-iW4gXgZMV,BIRRE ALLA SPINA,BAFFO DORO MORETTI piccola,BAFFO DORO MORETTI piccola,4,4.0,EUR,menu,drink,beer_moretti,medium,,2026-06-01T14:38:53Z,https://www.mycia.it/menu/milano/bar-magenta-iW4gXgZMV
mycia,bar_magenta,Bar Magenta,https://www.mycia.it/menu/milano/bar-magenta-iW4gXgZMV,BIRRE IN BOTTIGLIA,HEINEKEN,HEINEKEN,4.5,4.5,EUR,menu,drink,beer_heineken,medium,,2026-06-01T14:38:53Z,https://www.mycia.it/menu/milano/bar-magenta-iW4gXgZMV
