source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at
thefork,andrea_s_bistrot_de_milan,Andrea's Bistrot de Milan,https://www.thefork.it/ristorante/andrea-s-bistrot-de-milan-r818314,"Via Scaldasole, 1",Milano,,,,,,,,https://www.thefork.it/ristorante/andrea-s-bistrot-de-milan-r818314,,True,https://www.thefork.it/ristorante/andrea-s-bistrot-de-milan-r818314,ok,2026-06-01T10:48:04Z
thefork,bomaki_porta_romana_milano,Bomaki Porta Romana - Milano,https://www.thefork.it/ristorante/bomaki-porta-romana-milano-r836712/menu,,Milano,,,,,,,,https://www.thefork.it/ristorante/bomaki-porta-romana-milano-r836712/menu,,True,https://www.thefork.it/ristorante/bomaki-porta-romana-milano-r836712/menu,ok,2026-06-01T10:48:04Z
thefork,papilla_milano,Papilla Milano,https://www.thefork.it/ristorante/papilla-milano-r546743,"Piazza Ventiquattro Maggio, angolo via Sambuco",Milano,,,,,,,,https://www.thefork.it/ristorante/papilla-milano-r546743,,True,https://www.thefork.it/ristorante/papilla-milano-r546743,ok,2026-06-01T10:48:04Z
thefork,refeel_milano,Refeel Milano,https://www.thefork.it/ristorante/refeel-milano-r834208/menu,,Milano,,,,,,,,https://www.thefork.it/ristorante/refeel-milano-r834208/menu,,True,https://www.thefork.it/ristorante/refeel-milano-r834208/menu,ok,2026-06-01T10:48:04Z
thefork,21_house_of_stories_città_studi,21 House of Stories Città Studi,https://www.thefork.it/ristorante/21wol-milano-centro-r703801,,Milano,,,,,,,,https://www.thefork.it/ristorante/21wol-milano-centro-r703801,,True,https://www.thefork.it/ristorante/21wol-milano-centro-r703801/menu,ok,2026-06-01T15:12:32Z
thefork,annarè_milano,Annarè Milano,https://www.thefork.it/ristorante/annare-milano-r832485/menu,,Milano,,,,,,,,https://www.thefork.it/ristorante/annare-milano-r832485/menu,,True,https://www.thefork.it/ristorante/annare-milano-r832485/menu?show=menu,ok,2026-06-01T15:12:32Z
thefork,antica_focacceria_s_francesco_duomo_milano,Antica Focacceria S. Francesco - Duomo Milano,https://www.thefork.it/ristorante/antica-focacceria-s-francesco-duomo-milano-r822823,,Milano,,,,,,,,https://www.thefork.it/ristorante/antica-focacceria-s-francesco-duomo-milano-r822823,,True,https://www.thefork.it/ristorante/antica-focacceria-s-francesco-duomo-milano-r822823/menu,ok,2026-06-01T15:12:32Z
thefork,benvenuto_family_restaurant_milano,Benvenuto Family Restaurant - Milano,https://www.thefork.it/ristorante/benvenuto-family-restaurant-milano-r833992,"Via Fernanda Wittgens, 6",Milano,,,,,,,,https://www.thefork.it/ristorante/benvenuto-family-restaurant-milano-r833992,,True,https://www.thefork.it/ristorante/benvenuto-family-restaurant-milano-r833992,ok,2026-06-01T15:12:32Z
thefork,ca_pelletti_milano,Ca' Pelletti - Milano,https://www.thefork.it/ristorante/ca-pelletti-milano-r824313,,Milano,,,,,,,,https://www.thefork.it/ristorante/ca-pelletti-milano-r824313,,True,https://www.thefork.it/ristorante/ca-pelletti-milano-r824313/menu,ok,2026-06-01T15:12:32Z
thefork,cantine_milano,Cantine Milano,https://www.thefork.it/ristorante/cantine-milano-r320589,"Via Traù, 1",Milano,,,,,,,,https://www.thefork.it/ristorante/cantine-milano-r320589,,True,https://www.thefork.it/ristorante/cantine-milano-r320589?show=menu,ok,2026-06-01T15:12:32Z
thefork,chunk_milano,Chunk Milano,https://www.thefork.it/ristorante/chunk-milano-r640075,"Ripa di Porta Ticinese, 55",Milano,,,,,,,,https://www.thefork.it/ristorante/chunk-milano-r640075,,True,https://www.thefork.it/ristorante/chunk-milano-r640075,ok,2026-06-01T15:12:32Z
thefork,don_vincè_vincenzo_capuano_milano,Don Vincè- Vincenzo Capuano Milano,https://www.thefork.it/ristorante/don-vince-vincenzo-capuano-milano-r839697,,Milano,,,,,,,,https://www.thefork.it/ristorante/don-vince-vincenzo-capuano-milano-r839697,,True,https://www.thefork.it/ristorante/don-vince-vincenzo-capuano-milano-r839697/menu,ok,2026-06-01T15:12:32Z
thefork,frades_milano,Frades Milano,https://www.thefork.it/ristorante/frades-milano-r817204,"Via Giuseppe Mazzini, 20",Milano,,,,,,,,https://www.thefork.it/ristorante/frades-milano-r817204,,True,https://www.thefork.it/ristorante/frades-milano-r817204?show=menu,ok,2026-06-01T15:12:32Z
thefork,la_stradina_milano,La Stradina Milano,https://www.thefork.it/ristorante/la-stradina-milano-r839034,,Milano,,,,,,,,https://www.thefork.it/ristorante/la-stradina-milano-r839034,,True,https://www.thefork.it/ristorante/la-stradina-milano-r839034/menu,ok,2026-06-01T15:12:32Z
thefork,löwengrube_milano,Löwengrube Milano,https://www.thefork.it/ristorante/lowengrube-milano-r809910,,Milano,,,,,,,,https://www.thefork.it/ristorante/lowengrube-milano-r809910,,True,https://www.thefork.it/ristorante/lowengrube-milano-r809910/menu,ok,2026-06-01T15:12:32Z
thefork,mabuhay_restaurant_tibaldi_milan_filipino_japanese,Mabuhay Restaurant Tibaldi Milan - Filipino Japanese Cuisine,https://www.thefork.it/ristorante/mabuhay-restaurant-tibaldi-milan-filipino-japanese-cuisine-r829238,,Milano,,,,,,,,https://www.thefork.it/ristorante/mabuhay-restaurant-tibaldi-milan-filipino-japanese-cuisine-r829238,,True,https://www.thefork.it/ristorante/mabuhay-restaurant-tibaldi-milan-filipino-japanese-cuisine-r829238/menu,ok,2026-06-01T15:12:32Z
thefork,mammina_milano,Mammina Milano,https://www.thefork.it/ristorante/mammina-milano-r382881,,Milano,,,,,,,,https://www.thefork.it/ristorante/mammina-milano-r382881,,True,https://www.thefork.it/ristorante/mammina-milano-r382881/menu,ok,2026-06-01T15:12:32Z
thefork,mimì_milano,Mimì Milano,https://www.thefork.it/ristorante/mimi-milano-r822889,,Milano,,,,,,,,https://www.thefork.it/ristorante/mimi-milano-r822889,,True,https://www.thefork.it/ristorante/mimi-milano-r822889/menu,ok,2026-06-01T15:12:32Z
