source_venue_id,venue_name,latitude,longitude,address,method
d5aa2f21bc25,Victoria's,45.491051,9.239094,"Via Feltre, 20132, Milano",nominatim_reverse
63d4df6edf37,Sun Strac,45.465090,9.264555,"Via Salesina, 21771, Milano",nominatim_reverse
4d2c6bde0503,Santeria Toscana 31,45.445641,9.188350,"Viale Toscana 31, 20136, Milano",nominatim_reverse
fbeff499913d,Victoriasclub,45.491086,9.239225,"Via Feltre 30, 20132, Milano",nominatim_reverse
677e6b7dfc65,Eatmeandgo,45.460946,9.184686,"Via Torino 49, 20123, Milano",nominatim_reverse
97527f902828,tardispubmilano.it,45.523807,9.192576,"Via Luigi Ornato 134, 20162, Milano",nominatim_reverse
f5a7d0f1629e,Lucaeandreabar,45.451519,9.172851,"Alzaia Naviglio Grande 34, 20144, Milano",nominatim_reverse
616a5e2af9a8,carico.io,45.456102,9.170158,"Via Savona 1, 20144, Milano",nominatim_reverse
b23688701b48,Pub / Birreria SPRITZ NAVIGLI MILANO,45.451833,9.176753,"Ripa di Porta Ticinese 9, 20143, Milano",nominatim_reverse
1ef46fdcd058,Bar Tender,45.492803,9.216125,"Via Nino Oxilia 4, 20131, Milano",nominatim_reverse
544867c14d96,Da Giacomo,45.439601,9.223839,"Via Polesine, 20139, Milano",nominatim_reverse
8a709603a575,Pizza And Food,45.495210,9.237573,"Via Monfalcone 32, 20132, Milano",nominatim_reverse
d3e3b608c40e,21 House of Stories Città Studi,45.478310,9.220386,"Via Enrico Noë 24, 20133, Milano",nominatim_reverse
e7bd2821b40a,Ca' Pelletti - Milano,45.436360,9.165334,"Via San Vigilio 7, 20142, Milano",nominatim_reverse
95ecb4ffb0e3,Don Vincè- Vincenzo Capuano Milano,45.482611,9.175659,"Via Messina 10, 20154, Milano",nominatim_reverse
7a69c7377f45,La Stradina Milano,45.496877,9.185253,"Via Luigi Federico Menabrea 33, 20159, Milano",nominatim_reverse
7638dc241e51,Löwengrube Milano,45.455903,9.205749,"Viale Lazio 4, 20135, Milano",nominatim_reverse
a99b7d21a166,Mabuhay Restaurant Tibaldi Milan - Filipino Japanese Cuisine,45.443385,9.177060,"Viale Tibaldi 8, 20136, Milano",nominatim_reverse
3ae5ec422404,Mammina Milano,45.476541,9.170820,"Via Giuseppe Francesco Piermarini 2, 20154, Milano",nominatim_reverse
e540010ab222,Mimì Milano,45.458475,9.207418,"Via Antonio Fogazzaro, 20135, Milano",nominatim_reverse
753c30a86a64,Pace - Piazza Roma a Milano,45.459538,9.154478,"Via Giorgio Washington, 20146, Milano",nominatim_reverse
6278b18c101a,PALENQUERA MILANO,45.453118,9.152397,"Piazza Napoli 30/2, 20146, Milano",nominatim_reverse
4f9d7ccdfdb1,Piperita Milano,45.461025,9.181464,"Via San Sisto, 20123, Milano",nominatim_reverse
eedc073c36f0,Rossopomodoro Milano Centrale Nuovo,45.484110,9.204217,"Piazza Duca d'Aosta, 20124, Milano",nominatim_reverse
41fc263a511e,Sidhe Milano Bistrot Culturale,45.460605,9.079992,"Via Cusago, 20153, Milano",nominatim_reverse
549e90c37d8f,Spiller,45.491126,9.185989,"Via Alserio, 20159, Milano",nominatim_reverse
a23ea346d5ec,The Club,45.477544,9.184145,"Corso Giuseppe Garibaldi, 20100, Milano",nominatim_reverse
a432b7542827,Ripamonti 130,45.438242,9.200079,"Via Giuseppe Ripamonti, 20141, Milano",nominatim_reverse
f8b9be9bef80,Bibendum Baladin,45.471544,9.214523,"Via Adelaide Ristori, 20129, Milano",nominatim_reverse
1b08ecf56712,Happy Cafè,45.451449,9.186641,"Porta Lodovica, 20136, Milano",nominatim_reverse
da4d95ee4455,Bere Buona Birra,45.448041,9.205269,"Via Adige, 20135, Milano",nominatim_reverse
8019c46c7632,Pavè - Birra,45.479194,9.202806,"Via Felice Casati, 20124, Milano",nominatim_reverse
cad061ad2338,Tunnel Club,45.492225,9.209013,"Via Giovanni Battista Sammartini, 20125, Milano",nominatim_reverse
cd2fc484e4b2,Twins',45.528608,9.132047,"Via Paolo Borsellino e Giovanni Falcone, 20026, Novate Milanese",nominatim_reverse
9d8e366d95c0,Ittolittos,45.440537,9.146093,"Via Francesco Olgiati, 20143, Milano",nominatim_reverse
70196aba70a4,Bob Milano,45.489250,9.189215,"Via Pietro Borsieri, 20159, Milano",nominatim_reverse
25b3beb86dfa,Tucano,45.433185,9.202099,"Via dell'Assunta, 20141, Milano",nominatim_reverse
1285c58613c0,Micrò,45.430935,9.172998,"Via della Chiesa Rossa, 20142, Milano",nominatim_reverse
8abb70e8b2e4,Agua Sancta,45.479134,9.185904,"Corso Giuseppe Garibaldi, 20121, Milano",nominatim_reverse
00137ba4040c,Gipsy,45.479535,9.237574,"Via Carlo Valvassori Peroni 56, 20133, Milano",nominatim_reverse
20fd922ad975,Let’s Feel Good,45.462038,9.148954,"Via Clefi, 20146, Milano",nominatim_reverse
5d7c78c9e5f1,Chiosco Pomé,45.530726,9.043797,"Via Pomè, 20017, Rho",nominatim_reverse
cf47ec1d55e0,Frau,45.447171,9.127392,"Via Lorenteggio, 20147, Milano",nominatim_reverse
4e66316979aa,Smmak Navigli,45.449333,9.177634,"Via Ascanio Sforza, 20136, Milano",nominatim_reverse
70f332d196fc,Cobà,45.448421,9.177398,"Via Ascanio Sforza, 20136, Milano",nominatim_reverse
c645bfe5d187,Ligera,45.498258,9.232550,"Via Padova, 20127, Milano",nominatim_reverse
ab2407cc6094,Bierfabrik,45.480258,9.212523,"Via Federico Ozanam, 20129, Milano",nominatim_reverse
66f0666e2a15,The Roof Milano Bar & Restaurant,45.460825,9.188698,"Piazza Giuseppe Missori, 20122, Milano",nominatim_reverse
5b9605c82d47,La Buttiga Franco's Room,45.448361,9.186711,"Via Gian Carlo Castelbarco, 20136, Milano",nominatim_reverse
98c770fd5834,Porter House Milano,45.444909,9.194829,"Via Pompeo Leoni, 20136, Milano",nominatim_reverse
6c9665fbf09a,Labriola,45.498871,9.101908,"Via Enrico Falck, 20151, Milano",nominatim_reverse
cb5782cceb19,Cascina Martesana,45.503420,9.229244,"Via Luigi Bertelli 44, 20127, Milano",nominatim_reverse
20e3049cccfb,La Chiesetta,45.481699,9.172837,"Via Paolo Lomazzo, 20154, Milano",nominatim_reverse
1cc8855eedaf,Blues Bikers Pub,45.446903,9.180598,"Via Francesco Brioschi 7, 20136, Milano",nominatim_reverse
299c3dd5624b,The Beach Milano,45.470422,9.255218,"Via Arcangelo Corelli 62, 20134, Milano",nominatim_reverse
9ccd5a3e7136,Il bar Milano,45.464902,9.191829,"1_33051, 20122, Milano",nominatim_reverse
f4e556c4629c,BiTTe,45.442781,9.151803,"Via Giacomo Watt, 20143, Milano",nominatim_reverse
004887781d1e,Urban Wave,45.448802,9.197612,"Via Giulio Romano, 20122, Milano",nominatim_reverse
7efdb2749d67,Mac 111,45.497414,9.152845,"Via Bramantino, 20155, Milano",nominatim_reverse
7f1b70b0cf09,Seven Bar,45.488707,9.055894,"Via Antonio Gramsci, 20019, Settimo Milanese",nominatim_reverse
cdd1ec7370fa,Lord Byron,45.524554,9.271257,"Viale Piemonte, 20059, Cologno Monzese",nominatim_reverse
77d71ebf4729,Perché no?,45.523552,9.211826,"Viale Fulvio Testi, 20126, Milano",nominatim_reverse
19d2a783d94d,Central Bar,45.486060,9.053379,"Via Achille Grandi, 20019, Settimo Milanese",nominatim_reverse
6f805c086a92,Nico's Bar,45.486312,9.054043,"Via Antonio Bianchi, 20019, Settimo Milanese",nominatim_reverse
a0df6e6830d6,Sant'Ambrogio,45.538308,9.190674,"Via Vittorio Veneto, 20091, Bresso",nominatim_reverse
fd6b121e40a2,Madama Cafè,45.537953,9.190932,"Vicolo della Chiesa, 20091, Bresso",nominatim_reverse
4cc42915658b,Caffè Cinquecento,45.515117,9.213009,"Piazza della Trivulziana, 20126, Milano",nominatim_reverse
09b2ada4dbaa,Cafè de Flore,45.473319,9.230590,"Via Gaetano Strambio, 20133, Milano",nominatim_reverse
f25862e1678a,Pura Vida,45.419065,9.254427,"Piazza della Stazione, 20097, San Donato Milanese",nominatim_reverse
4db87377d1ed,Mulberry St,45.423273,9.265216,"Via Alfonsine, 20138, San Donato Milanese",nominatim_reverse
420210f9ff24,Bar Enrico,45.438254,9.090980,"Via Filippo Brunelleschi, 20094, Cesano Boscone",nominatim_reverse
6c624f117af3,Self service Talete,45.435364,9.097839,"Via Cascina Lavagna, 20094, Corsico",nominatim_reverse
2fb50a65c063,Bar Pasticceria Ranieri,45.478252,9.055354,"Via Vittorio Veneto, 20019, Settimo Milanese",nominatim_reverse
4174fc4556fd,Cristal Café,45.462548,9.228188,"Viale Corsica, 20137, Milano",nominatim_reverse
d5f0f0443bbc,Samovar,45.474202,9.231737,"Via Giacomo Venezian, 20133, Milano",nominatim_reverse
dd1a8de2dc8c,Tropical Island,45.474909,9.202965,"Bastioni di Porta Venezia, 20219, Milano",nominatim_reverse
34dd06353c16,Girasole,45.469086,9.224205,"Piazzale Susa, 20133, Milano",nominatim_reverse
e797ddd6228c,Café Étoile,45.468579,9.224954,"Piazzale Susa, 20133, Milano",nominatim_reverse
84e5fa072e2f,Bar Fiorani,45.531118,9.236391,"Via Felice Cavallotti, 20099, Sesto San Giovanni",nominatim_reverse
53e2bd64f4c4,Bar Niky Trattoria,45.480227,9.221396,"Via Donatello, 20131, Milano",nominatim_reverse
72c4293bd5c2,De Angeli,45.466587,9.150680,"Piazza Ernesto De Angeli, 20149, Milano",nominatim_reverse
b0692bea3a2c,Metissage Arci Milano,45.485537,9.189232,"Via Gaetano De Castillia, 20100, Milano",nominatim_reverse
9d1cb2259ec3,Barrio's Cafe,45.432235,9.149418,"Piazzale Donne Partigiane, 20143, Milano",nominatim_reverse
8cc051afd9f4,Paninoteca,45.494009,9.188411,"Viale Stelvio, 20159, Milano",nominatim_reverse
a7909aa81e96,Palabiliardo,45.538488,9.057315,"Via Terrazzano, 20017, Rho",nominatim_reverse
208515a1306f,Porko Puerko,45.496366,9.247285,"no, 20134, Milano",nominatim_reverse
ce42b43a75b5,Argonne Café,45.468541,9.231091,"Viale Argonne, 20133, Milano",nominatim_reverse
c1259c58ade6,Fantaghirò,45.538954,9.190718,"Via Vittorio Veneto, 20091, Bresso",nominatim_reverse
714357a4486a,Sloan Square,45.468227,9.177902,"Piazzale Luigi Cadorna, 20123, Milano",nominatim_reverse
