source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at,venue_type,target_classification,has_price,geocoding_confidence,all_names
eatbu,c64cdb34a6a1,+39zerodue Ristorante Bistrot Milano,https://cdn.website.dish.co/media/5f/d2/1379181/39zerodue-Ristorante-Bistrot-Milano-menu-cena.pdf,,Milano,45.464200,9.190000,,,,,,,,True,https://cdn.website.dish.co/media/5f/d2/1379181/39zerodue-Ristorante-Bistrot-Milano-menu-cena.pdf,no_price,2026-06-01T09:43:50Z,bistro,AMBIGUOUS_TO_REVIEW,False,fallback,+39zerodue Ristorante Bistrot Milano
mycia,9cfe1e51414a,101 Tarantella Pizzeria Bistrot,https://www.mycia.it/menu/milano/101-tarantella-pizzeria-bistrot-8958128eb,"Via Panfilo Castaldi, 17, 20124 Milano MI, Italia",Milano,45.4772962,9.2018984,Pizzeria,€€,,,,,Lunedì Chiuso | Martedì 10:30 - 15:30 / 18:30 - 23:00 | Mercoledì 10:30 - 15:30 / 18:30 - 23:00 | Giovedì 10:30 - 15:30 / 18:30 - 23:00 | Venerdì 10:30 - 15:30 / 18:30 - 23:00 | Sabato 10:30 - 15:30 / 18:30 - 23:00 | Domenica 10:30 - 15:30 / 18:30 - 23:00,False,https://www.mycia.it/menu/milano/101-tarantella-pizzeria-bistrot-8958128eb,no_price,2026-05-30T17:19:07.961064+00:00,bistro,AMBIGUOUS_TO_REVIEW,False,existing,101 Tarantella Pizzeria Bistrot
mycia,b8520ce50966,A TAVOLA,https://www.mycia.it/menu/milano/a-tavola-kOmU70jRD,"Largo Settimio Severo, 1, 20144 Milano, MI, Italia",Milano,45.4660884,9.1624924,"Bistrot, Cafè",€€,,,,,Lunedì 07:00 - 20:30 | Martedì 07:00 - 20:30 | Mercoledì 07:00 - 20:30 | Giovedì 07:00 - 20:30 | Venerdì 07:00 - 21:00 | Sabato 08:00 - 21:00 | Domenica 09:00 - 20:30,False,https://www.mycia.it/menu/milano/a-tavola-kOmU70jRD,no_price,2026-05-30T17:19:15.674962+00:00,bistro,TARGET,False,existing,A TAVOLA
mycia,3ac7f87b5a89,Abbracci Bistrot,https://www.mycia.it/menu/milano/abbracci-bistrot-xmMsjEsnF,"Via Casale, 7, 20144 Milano, MI, Italia",Milano,45.451474,9.170964,"Bar, Bistrot, Ristorante",€€,,,+39 02 84244310,https://abbraccibistrot.com/,Lunedì 11:00 - 23:30 | Martedì 11:00 - 23:30 | Mercoledì 11:00 - 23:30 | Giovedì 11:00 - 23:30 | Venerdì 11:00 - 23:30 | Sabato 11:00 - 23:30 | Domenica 11:00 - 23:30,True,https://www.mycia.it/menu/milano/abbracci-bistrot-xmMsjEsnF,no_price,2026-05-30T17:19:21.850358+00:00,bistro,TARGET,False,existing,Abbracci Bistrot
mycia,85c3e0d202b7,Andrea Aprea Ristorante,https://www.mycia.it/menu/milano/andrea-aprea-ristorante-nPfm1rQ2O,"Corso Venezia, 52, 20122 Milano, MI, Italia",Milano,45.4733505,9.2043065,"Bistrot, Cafè, Ristorante",€€€€,,,,,Lunedì Chiuso | Martedì 19:30 - 22:00 | Mercoledì 19:30 - 22:00 | Giovedì 19:30 - 22:00 | Venerdì 19:30 - 22:00 | Sabato 19:30 - 22:00 | Domenica 19:30 - 22:00,False,https://www.mycia.it/menu/milano/andrea-aprea-ristorante-nPfm1rQ2O,no_price,2026-05-30T17:19:52.715383+00:00,bistro,TARGET,False,existing,Andrea Aprea Ristorante
thefork,f8caabdbe6eb,Andrea's Bistrot de Milan,https://www.thefork.it/ristorante/andrea-s-bistrot-de-milan-r818314,"Via Scaldasole, 1",Milano,45.454217,9.179931,,,,,,https://www.thefork.it/ristorante/andrea-s-bistrot-de-milan-r818314,,True,https://www.thefork.it/ristorante/andrea-s-bistrot-de-milan-r818314,no_price,2026-06-01T10:48:04Z,bistro,TARGET,False,precise,Andrea's Bistrot de Milan
mycia,1966c14ea0d5,arena bistrot,https://www.mycia.it/menu/milano/arena-bistrot-fWnjh6M0C,"Piazza Lega Lombarda, 1, 20154 Milano MI, Italia",Milano,45.4777784,9.1796941,Bistrot,€€€,,,,,Lunedì 12:00 - 14:30 / 18:00 - 02:00 | Martedì 12:00 - 14:30 / 18:00 - 02:00 | Mercoledì 12:00 - 14:30 / 18:00 - 02:00 | Giovedì 12:00 - 14:30 / 18:00 - 02:00 | Venerdì 12:00 - 14:30 / 18:00 - 02:00 | Sabato 12:00 - 14:30 / 18:00 - 02:00 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/arena-bistrot-fWnjh6M0C,no_price,2026-05-30T17:20:03.536172+00:00,bistro,TARGET,False,existing,arena bistrot
direct_website,9a2db1335271,Babila Bistro,https://www.babilahostel.it,Via Conservatorio 2a,Milano,45.4641289,9.2033678,bar,,,,,https://www.babilahostel.it,,False,https://www.babilahostel.it,no_price,2026-05-30T20:43:55.019300+00:00,bistro,TARGET,False,existing,Babila Bistro
web_extract,d23709dffd40,Bar GinOra Bistrot,https://ginrosamilano.it/,"Viale Ercole Marelli, 20099, Sesto San Giovanni",Milano,45.529134,9.229473,bar,,,,,https://ginrosamilano.it/,,False,https://ginrosamilano.it/,no_price,2026-05-31T19:03:58.101062+00:00,bistro,TARGET,False,existing,Bar GinOra Bistrot
mycia,77fd874b4854,BIAN.CO BISTROT,https://www.mycia.it/menu/milano/bian-co-bistrot-Uc0nBgMMt,"Via Rubens, 13, Milano, MI, Italia",Milano,45.4670405,9.1443323,Bistrot,€€,,,,,Lunedì 08:00 - 02:00 | Martedì 08:00 - 02:00 | Mercoledì 08:00 - 02:00 | Giovedì 08:00 - 02:00 | Venerdì 08:00 - 02:00 | Sabato 08:00 - 02:00 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/bian-co-bistrot-Uc0nBgMMt,no_price,2026-05-30T17:20:42.624449+00:00,bistro,TARGET,False,existing,BIAN.CO BISTROT
web_extract,10cd65282de6,Bistro Cortile,https://www.bistrotbertarelli1894.com/menu-sito-milano,"Via Tortona, 20144, Milano",Milano,45.452575,9.163781,bar,,,,,https://www.bistrotbertarelli1894.com/bistrot-bertarelli-1894-cortile,,False,https://www.bistrotbertarelli1894.com/menu-sito-milano,no_price,2026-05-31T19:03:58.101062+00:00,bistro,TARGET,False,existing,Bistro Cortile
mycia,f387ab66dae6,Bistrot Jacopo,https://www.mycia.it/menu/milano/bistrot-jacopo-wnrVxc5kf,"Corso Ventidue Marzo, 38, 20135 Milano, Milano MI, Italia",Milano,45.4620318,9.2190562,"Bistrot, Ristorante",€€,,,,,Lunedì 19:00 - 22:00 | Martedì 19:00 - 22:00 | Mercoledì 19:00 - 22:00 | Giovedì 19:00 - 22:00 | Venerdì 19:00 - 22:00 | Sabato 19:00 - 22:00 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/bistrot-jacopo-wnrVxc5kf,no_price,2026-05-30T17:20:48.803278+00:00,bistro,AMBIGUOUS_TO_REVIEW,False,existing,Bistrot Jacopo
mycia,3d39cbd6ad2a,Bistrot Martini Dolce&Gabbana,https://www.mycia.it/menu/milano/bistrot-martini-dolce-gabbana-d9ca355a2,"Corso Venezia, 13, 20121 Milano MI, Italia",Milano,45.4682312,9.1985875,Bar,€€€,,,,,Lunedì 09:30 - 01:00 | Martedì 09:30 - 01:00 | Mercoledì 09:30 - 01:00 | Giovedì 09:30 - 01:00 | Venerdì 09:30 - 01:00 | Sabato 09:30 - 01:00 | Domenica 09:30 - 00:00,True,https://www.mycia.it/menu/milano/bistrot-martini-dolce-gabbana-d9ca355a2,no_price,2026-05-30T17:20:50.344493+00:00,bistro,TARGET,False,existing,Bistrot Martini Dolce&Gabbana
mycia,f2fe7605b684,Cabaret Bistrot,https://www.mycia.it/menu/milano/cabaret-bistrot-iXljG35Jb,"Via Emilio Cornalia, Milano, MI, Italia",Milano,45.4833202,9.1972999,Bistrot,€€,,,,,Lunedì 08:00 - 23:00 | Martedì 08:00 - 23:00 | Mercoledì 08:00 - 23:00 | Giovedì 08:00 - 23:00 | Venerdì 08:00 - 23:00 | Sabato 08:00 - 23:00 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/cabaret-bistrot-iXljG35Jb,no_price,2026-05-30T17:21:32.194202+00:00,bistro,TARGET,False,existing,Cabaret Bistrot
