source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at,venue_type,target_classification,has_price,geocoding_confidence,all_names,nil_quartiere,name_source,source_provenance,opening_hours_source
osm,1645911082,Caffè del Borgo Bistrot,,"Via Antonio Zoccoli 13a, 40134, Bologna",Bologna,44.489785,11.317291,,,,,+39 3896982173,https://www.facebook.com/BorgoBistrotBologna/,Mo-Fr 07:00-20:00 Sa 07:00-13:00,False,,no_price,2026-06-02T10:13:47Z,bistro,TARGET,False,existing,Caffè del Borgo Bistrot,,osm_overpass,osm,osm
osm,3190973951,Le Radici Bistrot,,"Via Camillo Ranzani 13b, 40127, Bologna",Bologna,44.500698,11.358631,,,,,+39051 316 9385,https://www.leradicibistrot.it/,Mo-Su 08:00-21:30,False,,no_price,2026-06-02T10:13:47Z,bistro,TARGET,False,existing,Le Radici Bistrot,,osm_overpass,osm,osm
osm,9970891692,Lime Bistrot,,"Piazza San Martino 3/d, 40126, Bologna",Bologna,44.496703,11.346592,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:47Z,bistro,TARGET,False,existing,Lime Bistrot,,osm_overpass,osm,typical_by_type
osm,3100479740,Noir Caffè Bistrot,,"Viale Carlo Berti Pichat 32, 40127, Bologna",Bologna,44.498844,11.356746,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:47Z,bistro,TARGET,False,existing,Noir Caffè Bistrot,,osm_overpass,osm,typical_by_type
osm,12317969907,Officina Bistrot,,Bologna,Bologna,44.505206,11.327175,,,,,,,Mo 09:00-17:00; Tu-We 09:00-00:00; Th 09:00-00:30; Fr 09:00-02:00; Sa 10:00-02:00; Su 17:30-23:30,False,,no_price,2026-06-02T10:13:47Z,bistro,TARGET,False,existing,Officina Bistrot,,osm_overpass,osm,osm
osm,3646448112,Sette Chiese Bistrot,,"Piazza Santo Stefano 15, 40125, Bologna",Bologna,44.492147,11.348013,,,,,,,"Mo-Fr 11:00-01:00, Sa,Su 10:00-01:00",False,,no_price,2026-06-02T10:13:47Z,bistro,TARGET,False,existing,Sette Chiese Bistrot,,osm_overpass,osm,osm
osm,13875311939,Veg Bar & Bistro,,Bologna,Bologna,44.503684,11.345945,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:47Z,bistro,TARGET,False,existing,Veg Bar & Bistro,,osm_overpass,osm,typical_by_type
osm,1704301677,Zem Bistrot,,"Via Mascarella 76a, 40126, Bologna",Bologna,44.500401,11.350907,,,,,+39 328 6668556,https://www.zembistrot.it,"Mo-Sa 11:30-15:00, 18:00-23:00; Su 11:30-15:30",False,,no_price,2026-06-02T10:13:47Z,bistro,TARGET,False,existing,Zem Bistrot,,osm_overpass,osm,osm
osm,315183043,10 Codivilla,,Bologna,Bologna,44.483090,11.343078,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:13:47Z,cafe,TARGET,False,existing,10 Codivilla,,osm_overpass,osm,typical_by_type
osm,4050191156,12oz,,Bologna,Bologna,44.498532,11.343782,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:13:47Z,cafe,TARGET,False,existing,12oz,,osm_overpass,osm,typical_by_type
osm,11591410934,12oz,,Bologna,Bologna,44.505400,11.343907,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:13:47Z,cafe,TARGET,False,existing,12oz,,osm_overpass,osm,typical_by_type
osm,3538173467,2' M. M.,,Bologna,Bologna,44.504715,11.346476,,,,,,,Mo-Fr 05:00-19:30; Sa 07:00-19:30; Su 07:00-12:00,False,,no_price,2026-06-02T10:13:47Z,cafe,TARGET,False,existing,2' M. M.,,osm_overpass,osm,osm
osm,260886254,40139 - Garden Bar,,Bologna,Bologna,44.474658,11.377347,,,,,+39 339 504 1349,,We-Su 17:00-02:00,False,,no_price,2026-06-02T10:13:47Z,cafe,TARGET,False,existing,40139 - Garden Bar,,osm_overpass,osm,osm
osm,10604266699,7000 Caffè,,"Via Galliera 93h, 40121, Bologna",Bologna,44.503316,11.344475,,,,,+39 051 4126445,,Mo-Fr 06:40-20:00; Sa 07:30-12:00,False,,no_price,2026-06-02T10:13:47Z,cafe,TARGET,False,existing,7000 Caffè,,osm_overpass,osm,osm
osm,3637073745,84,,"Via del Borgo di San Pietro 65, 40126, Bologna",Bologna,44.500392,11.349402,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:13:47Z,cafe,TARGET,False,existing,84,,osm_overpass,osm,typical_by_type
osm,4919336921,900,,Bologna,Bologna,44.443677,11.272795,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:13:47Z,cafe,TARGET,False,existing,900,,osm_overpass,osm,typical_by_type
osm,4789626223,A2,,Bologna,Bologna,44.502001,11.318759,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:13:47Z,cafe,TARGET,False,existing,A2,,osm_overpass,osm,typical_by_type
