canonical_name,all_variants,geo_key,source_provenance,cluster_size,target_classification
Pangu,Pangu,"45.4817,9.1801",comune|comune_milano|osm,14,AMBIGUOUS
PS Cocktail & Beer,PS Cocktail & Beer,"45.4509,9.1776",comune|comune_milano|osm,11,TARGET
Terrazza Duomo 21,Terrazza Duomo 21,"45.4648,9.1896",comune|comune_milano|osm,11,TARGET
Tropical Bar,Tropical Bar,"45.4516,9.1751",comune|comune_milano|osm,11,TARGET
Dito Divino,Dito Divino,"45.4652,9.1841",comune|comune_milano|osm,10,TARGET
Pavè - Birra,Pavè - Birra | Pavé,"45.4792,9.2028",comune|comune_milano|osm,10,TARGET
Eppol Liquors $ Kitchen,Eppol Liquors $ Kitchen | Eppol,"45.4748,9.2077",comune|comune_milano|osm|thefork,10,TARGET
LeccoMilano,LeccoMilano,"45.4769,9.2042",comune|comune_milano|osm,10,TARGET
Bar Gatto,Bar Gatto,"45.4848,9.2147",comune|comune_milano|osm,9,AMBIGUOUS
Usman,Usman,"45.4765,9.2035",comune_milano,9,NO_TARGET
Tascaro,Tascaro,"45.4914,9.1891",comune|comune_milano|osm,9,TARGET
PIBÄ,PIBÄ,"45.4628,9.2117",comune|comune_milano|osm,9,TARGET
Agua Sancta,Agua Sancta,"45.4792,9.1858",comune|comune_milano|osm,8,AMBIGUOUS
BackDoor43,BackDoor43,"45.4513,9.1735",comune|comune_milano|osm,8,TARGET
AStare,AStare,"45.4442,9.2143",comune|comune_milano|osm,8,TARGET
La Fontanella,La Fontanella,"45.4518,9.1777",comune|osm,8,TARGET
Caffè Napoli Crocetta,Caffè Napoli Crocetta,"45.4557,9.1955",comune_milano|osm,7,AMBIGUOUS
The Friends,The Friends,"45.4801,9.1935",comune|comune_milano|osm,7,TARGET
Green Bar,Green Bar,"45.4740,9.1093",comune_milano|osm,7,AMBIGUOUS
Morosini,Morosini,"45.4585,9.2108",comune_milano|osm,7,AMBIGUOUS
Triple Craft Beer Milano - Birreria Artigianale,Triple Craft Beer Milano - Birreria Artigianale,"45.4868,9.1646",comune|comune_milano|osm,7,TARGET
Bar Cupido,Bar Cupido,"45.4489,9.1437",comune|comune_milano|osm,7,TARGET
Gramm,Gramm,"45.4512,9.1728",comune|comune_milano|osm,7,TARGET
Lounge Bar,Lounge Bar,"45.4623,9.1874",comune|comune_milano|osm,7,AMBIGUOUS
Orange Spritz Bar,Orange Spritz Bar,"45.4756,9.2046",comune|comune_milano|osm,7,TARGET
Alambique,Alambique,"45.4506,9.1779",comune|comune_milano|osm,7,TARGET
La Buttiga Franco's Room,La Buttiga Franco's Room,"45.4484,9.1867",comune|comune_milano|osm,7,TARGET
Pirati e Poeti,Pirati e Poeti,"45.4762,9.2061",comune|comune_milano|osm,7,TARGET
Tardis,Tardis,"45.5238,9.1926",comune|comune_milano|osm,7,TARGET
Red Bistrot Libreria,Red Bistrot Libreria,"45.4780,9.1553",comune_milano,7,NO_TARGET
Bones Pub,Bones Pub,"45.4510,9.1915",comune|comune_milano|osm,7,AMBIGUOUS
Wizard,Wizard,"45.4504,9.1694",comune|comune_milano|osm,7,TARGET
Bobino,Bobino,"45.4536,9.1699",comune|comune_milano|osm,7,AMBIGUOUS
Inside,Inside,"45.4818,9.2007",comune|comune_milano|osm,7,AMBIGUOUS
Basin,Basin,"45.4879,9.1642",comune|comune_milano|osm,7,TARGET
River,River,"45.4513,9.1710",comune|osm,7,TARGET
Kitsch Bar,Kitsch Bar,"45.4768,9.1705",comune|comune_milano|osm,6,TARGET
Atmosphere,Atmosphere,"45.4754,9.2145",comune|comune_milano|osm,6,TARGET
Tom the ordinary market,Tom the ordinary market,"45.4567,9.1844",comune|comune_milano|osm,6,TARGET
Moscow Mule Bar,Moscow Mule Bar,"45.4868,9.2300",comune|comune_milano|osm,6,TARGET
Bar Cristal,Bar Cristal,"45.4828,9.1691",comune|comune_milano|osm,6,AMBIGUOUS
L' Arabesque,L'Arabesque | L' Arabesque,"45.4631,9.1986",comune_milano|osm,6,AMBIGUOUS
Bar Tabacchi Molino delle Armi,Bar Tabacchi Molino delle Armi,"45.4566,9.1834",comune|comune_milano|osm,6,AMBIGUOUS
Rock'n'Roll Milano,Rock'n'Roll Milano | Rock 'N' Roll,"45.4925,9.2078",comune|comune_milano|osm|thefork,6,TARGET
Bar Gusto,Bar Gusto,"45.4623,9.2234",comune|comune_milano|osm,6,TARGET
Refeel,Refeel | Refeel Milano,"45.4508,9.2010",comune|comune_milano|osm|thefork,6,AMBIGUOUS
Felicetta Café & Bistrot,Felicetta Café & Bistrot | Felicetta Cafè & Bistrot,"45.4722,9.1679",comune_milano|osm|thefork,6,TARGET
ADA Cocktail to go,ADA Cocktail to go,"45.4514,9.1739",comune|comune_milano|osm,6,TARGET
Elite Cafe Tolstoi,Elite Cafe Tolstoi,"45.4537,9.1497",comune|comune_milano|osm,6,TARGET
Birra di Quartiere,Birra di Quartiere,"45.4507,9.1485",comune|comune_milano|osm,6,TARGET
Ripamonti 130,Ripamonti 130,"45.4382,9.2000",comune|comune_milano|osm,6,TARGET
Birrificio artigianale La Buttiga,Birrificio artigianale La Buttiga,"45.4811,9.1702",comune|comune_milano|osm,6,TARGET
PolyGram,PolyGram,"45.4812,9.1750",comune|comune_milano|osm,6,TARGET
