source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at,venue_type,target_classification,has_price,geocoding_confidence,all_names,nil_quartiere,name_source,source_provenance,opening_hours_source
osm,13130053501,Bistro' Conad,,"Via Pistoiese 231, 50145, Firenze",Firenze,43.793874,11.186005,,,,,+39 055 342 7386,,Mo-Sa 07:00-21:00; Su 08:00-20:00,False,,no_price,2026-06-02T10:13:34Z,bistro,TARGET,False,existing,Bistro' Conad,,osm_overpass,osm,osm
osm,2361872166,Bistrot Caffè Arco de Ciompi,,"Via Pietrapiana 47r, 50122, Firenze",Firenze,43.771397,11.264573,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:34Z,bistro,TARGET,False,existing,Bistrot Caffè Arco de Ciompi,,osm_overpass,osm,typical_by_type
osm,3586755921,Bistrot Damiano,,"Via Gino Capponi 12, 50121, Firenze",Firenze,43.776892,11.261607,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:34Z,bistro,TARGET,False,existing,Bistrot Damiano,,osm_overpass,osm,typical_by_type
osm,4388781846,Bistrot Wine & Food,,Firenze,Firenze,43.776282,11.258230,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:34Z,bistro,TARGET,False,existing,Bistrot Wine & Food,,osm_overpass,osm,typical_by_type
osm,4227367337,Bistrot74,,Firenze,Firenze,43.773883,11.257691,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:34Z,bistro,TARGET,False,existing,Bistrot74,,osm_overpass,osm,typical_by_type
osm,6200944996,Caffè Bistrot 19.26,,Firenze,Firenze,43.773019,11.268583,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:34Z,bistro,TARGET,False,existing,Caffè Bistrot 19.26,,osm_overpass,osm,typical_by_type
osm,13188278755,Entoni's Bar Bistrot,,Firenze,Firenze,43.768339,11.313190,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:34Z,bistro,TARGET,False,existing,Entoni's Bar Bistrot,,osm_overpass,osm,typical_by_type
osm,5325740014,Jazz Bistrot,,Firenze,Firenze,43.769108,11.285663,,,,,+39 055 677391,https://www.jazzbistrot.it/,7:00-22:30,False,,no_price,2026-06-02T10:13:34Z,bistro,TARGET,False,existing,Jazz Bistrot,,osm_overpass,osm,osm
osm,5700098751,Odeon Bistro,,Firenze,Firenze,43.770876,11.252324,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:34Z,bistro,TARGET,False,existing,Odeon Bistro,,osm_overpass,osm,typical_by_type
osm,6913736903,Quell'Altre Bistrot,,"Via Reginaldo Giuliani 17 R, Firenze",Firenze,43.797525,11.239587,,,,,+39055411905,https://www.instagram.com/quellaltre_bistrot/,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:34Z,bistro,TARGET,False,existing,Quell'Altre Bistrot,,osm_overpass,osm,typical_by_type
osm,4715082976,Òzio Bistro,,Firenze,Firenze,43.771748,11.246818,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:34Z,bistro,TARGET,False,existing,Òzio Bistro,,osm_overpass,osm,typical_by_type
osm,1195339635,12oz,,"Piazza della Stazione, 50123, Firenze",Firenze,43.777213,11.248389,,,,,+39 0552692709,https://www.12ozcj.com,Mo-Fr 06:30-21:00; Sa-Su 07:00-21:00,False,,no_price,2026-06-02T10:13:34Z,cafe,TARGET,False,existing,12oz,,osm_overpass,osm,osm
osm,12697179002,25 in Condotta,,Firenze,Firenze,43.770183,11.256583,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:13:34Z,cafe,TARGET,False,existing,25 in Condotta,,osm_overpass,osm,typical_by_type
osm,938226392,45 giri,,Firenze,Firenze,43.790436,11.251866,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:13:34Z,cafe,TARGET,False,existing,45 giri,,osm_overpass,osm,typical_by_type
osm,6256025774,50 Rosso,,"Via Panzani 50 R, Firenze",Firenze,43.774344,11.250810,,,,,+39 055 283585,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:13:34Z,cafe,TARGET,False,existing,50 Rosso,,osm_overpass,osm,typical_by_type
osm,3969112203,7000 caffé,,Firenze,Firenze,43.748815,11.183149,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:13:34Z,cafe,TARGET,False,existing,7000 caffé,,osm_overpass,osm,typical_by_type
osm,9183727272,A casa Ca Fe,,Firenze,Firenze,43.772351,11.249101,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:13:34Z,cafe,TARGET,False,existing,A casa Ca Fe,,osm_overpass,osm,typical_by_type
osm,9810449683,Accademia Café,,"Piazza San Marco 4, Firenze",Firenze,43.777472,11.258807,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:13:34Z,cafe,TARGET,False,existing,Accademia Café,,osm_overpass,osm,typical_by_type
osm,3749477994,Al Bar,,"Viale dell'Albereta, Firenze",Firenze,43.764482,11.284052,,,,,,,Mo-Su 15:00-01:00,False,,no_price,2026-06-02T10:13:34Z,cafe,TARGET,False,existing,Al Bar,,osm_overpass,osm,osm
