source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at,venue_type,target_classification,has_price,geocoding_confidence,all_names,nil_quartiere,name_source,source_provenance,opening_hours_source
osm,9733661937,Bistrot Dalì,,"Via Raffaello Sanzio, 80040, Volla",Napoli,40.874557,14.346245,,,,,+39 081 774 8915,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:09:42Z,bistro,TARGET,False,existing,Bistrot Dalì,,osm_overpass,osm,typical_by_type
osm,13404173825,Bistrot Pace,,Napoli,Napoli,40.821609,14.207564,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:09:42Z,bistro,TARGET,False,existing,Bistrot Pace,,osm_overpass,osm,typical_by_type
osm,5325449111,Caffè Bistrot Toledo,,"Via Armando Diaz 20, 80133, Napoli",Napoli,40.842371,14.249497,,,,,+39 081 5521039,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:09:42Z,bistro,TARGET,False,existing,Caffè Bistrot Toledo,,osm_overpass,osm,typical_by_type
osm,11476202839,Canna Bistro,,Napoli,Napoli,40.850679,14.250483,,,,,,,Mo-Su 18:00-01:00,False,,no_price,2026-06-02T10:09:42Z,bistro,TARGET,False,existing,Canna Bistro,,osm_overpass,osm,osm
osm,5259514087,Gran Caffè Al Centro - Gran Caffè - Bistrot - Pizzeria,,"Via Giuseppe Verdi 14;15;16;17;18, 80132, Napoli",Napoli,40.838891,14.250233,,,,,,,Mo-Fr 07:00-22:00; Sa-Su 07:00-00:00,False,,no_price,2026-06-02T10:09:42Z,bistro,TARGET,False,existing,Gran Caffè Al Centro - Gran Caffè - Bistrot - Pizzeria,,osm_overpass,osm,osm
osm,12022540838,Lounge Bar Bistrot,,Napoli,Napoli,40.850690,14.256505,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:09:42Z,bistro,TARGET,False,existing,Lounge Bar Bistrot,,osm_overpass,osm,typical_by_type
osm,11476215227,#NoHashTag,,"Via Bellini 46, Napoli",Napoli,40.850573,14.250740,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,#NoHashTag,,osm_overpass,osm,typical_by_type
osm,9370322281,'Na Tazzuella,,Napoli,Napoli,40.834680,14.242361,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,'Na Tazzuella,,osm_overpass,osm,typical_by_type
osm,9160227982,'Nata storia,,Napoli,Napoli,40.857859,14.280610,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,'Nata storia,,osm_overpass,osm,typical_by_type
osm,7179565921,'O Barett,,Napoli,Napoli,40.847854,14.253527,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,'O Barett,,osm_overpass,osm,typical_by_type
osm,12895056694,'O vico,,Napoli,Napoli,40.850052,14.263095,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,'O vico,,osm_overpass,osm,typical_by_type
osm,11002804757,12oz,,Napoli,Napoli,40.851959,14.270320,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,12oz,,osm_overpass,osm,typical_by_type
osm,5257951721,Air Café,,Napoli,Napoli,40.873619,14.280888,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Air Café,,osm_overpass,osm,typical_by_type
osm,9160223094,Al caffettuccio 2.0,,Napoli,Napoli,40.857952,14.284056,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Al caffettuccio 2.0,,osm_overpass,osm,typical_by_type
osm,13043381174,Al Manzoni,,Napoli,Napoli,40.817675,14.201675,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Al Manzoni,,osm_overpass,osm,typical_by_type
osm,9408718093,Alaska,,Napoli,Napoli,40.843469,14.227960,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Alaska,,osm_overpass,osm,typical_by_type
osm,9131552378,Alessandro,,Napoli,Napoli,40.901623,14.348103,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Alessandro,,osm_overpass,osm,typical_by_type
