name,lat,lon,amenity,cuisine,website,phone,opening_hours,address
Pogue Mahone's,45.4508118,9.2038694,pub,,,,,
Victoria's,45.4910506,9.2390944,pub,,https://www.victoriasclub.it/,+39 02 36723167,,"Via Feltre, 20132, Milano"
Radetzky Café,45.4784350,9.1850522,bar,,https://www.radetzky.it/,+39 02 6572645,,"Largo La Foppa 5, 20121, Milano"
Scott Duff,45.4799222,9.1832687,pub,,https://scottduff.it/,+39 02 29002574,"Mo-Sa 16:30-02:00, Su 15:00-01:00","Via Alessandro Volta 13, 20121, Milano"
The Old Fox Pub,45.4588109,9.1707677,pub,,,+39 02 8940 2622,,"Via Cesare da Sesto 21, 20123, Milano"
Il gatto e la volpe,45.4949167,9.1981450,pub,,,,,
Barstrò,45.4950751,9.1970870,cafe,,,,,
Nordest,45.4892417,9.1888269,pub,,,+39 02 6900 1910,08:00 - 01:00,"Via Pietro Borsieri 35, 20159, Milano"
Tempi moderni,45.5141993,9.2083420,pub,,,,Mo-Sa 06:00-20:00; Su 07:30-13:00,"Via Nicolò Fortiguerra 12, Milano"
Bar Nilo,45.4887935,9.1943986,cafe,,http://www.barnilo.it/,,,"Via Ippolito Rosellini, 20124, Milano"
Starbucks,45.4882021,9.1953454,cafe,coffee_shop,https://www.starbucks.co.uk/store-locator/59651-293868/milano-restelli,,Mo-Fr 07:30-18:30; Sa-Su 08:00-19:00,"Viale Francesco Restelli 5, 20124, Milano"
Il Tombino,45.4609976,9.1528367,pub,,,,,
Bar Da Vinci,45.4809461,9.2252976,cafe,,,,,
Hop,45.4595392,9.2063699,pub,,,+39 02 39439821,,Viale Regina Margherita 16
Archimede Caffè Tabacchi,45.4656535,9.2213141,cafe,,,,,
Wizard,45.4504343,9.1692493,pub,,https://thewizardpub.wordpress.com/,,,"Ripa di Porta Ticinese 69, 20143, Milano"
La Fontanella,45.4518037,9.1776743,pub,,,,Su-Tu 20:30-02:00; Fr-Sa 20:30-03:00,"Alzaia Naviglio Pavese 4n02, 20143, Milano"
Bar Magenta,45.4656920,9.1756560,pub,italian,https://barmagenta.it/,+39028053808,Mo-Su 07:30-02:00,"Via Giosuè Carducci 13, 20123, Milano"
Club Decò,45.4866881,9.1670869,bar,,,,,"Via San Galdino 5, 20154, Milano"
Matricola,45.4757092,9.2233689,pub,,,,,
Blanco Café,45.4502065,9.1513149,cafe,,https://www.blancocaffemilano.com/,,,"Via Leone Tolstoi 9, 20146, Milano"
Gelsomina,45.4802145,9.2012320,cafe,,,+39 02 66713 696,,"Via Carlo Tenca 5, 20124, Milano"
Sohos,45.4801747,9.2015922,pub,,,,,
Outback café,45.4803007,9.2016606,pub,,,,,
Bar Baldassarre,45.4818660,9.2036250,cafe,pizza;regional;chicken;italian,,,Mo-Su 07:00-01:30,"Via Ruggero Boscovich 22, 20124, Milano"
Camarillo Brillo,45.4446001,9.1418269,pub,,https://camarillobrillo.business.site/,,,"Via Lodovico il Moro 83, 20143, Milano"
Laumge Cafe,45.4469146,9.1612503,cafe,,,,,"Via Carlo D'Adda 13, 20143, Milano"
Tin Whistle,45.4451996,9.1446995,pub,,https://www.facebook.com/tinwhistlemilano/,,,"Via Lodovico il Moro 55, 20143, Milano"
Murphy's Pub,45.4696964,9.2280645,pub,,,,,
Le Coq,45.4705090,9.2268801,pub,,,,,"Piazza Francesco Guardi 13, 20133, Milano"
Frida,45.4887512,9.1871110,pub,,https://www.fridaisola.it/,+39 02 680260,"Mo-Fr 10:00-15:00,18:00-02:00; Sa 16:00-02:00; Su 12:00-01:00","Via Antonio Pollaiuolo 3, 20159, Milano"
Smile,45.4603367,9.1551443,cafe,,,,,
Washington 76,45.4590954,9.1545367,cafe,,,,,
Mom,45.4587087,9.2061643,pub,,,,,
