source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at,venue_type,target_classification,has_price,geocoding_confidence,all_names,nil_quartiere,name_source,source_provenance,opening_hours_source
osm,4692454589,Analemma Café Aperitivo,,Roma,Roma,41.894690,12.491636,,,,,,,Mo-Su 17:00-22:00,False,,no_price,2026-06-02T10:09:21Z,aperitivo_bar,TARGET,False,existing,Analemma Café Aperitivo,,osm_overpass,osm,typical_by_type
osm,13506344974,Al Bistrot 91,,"Via Magnagrecia, Roma",Roma,41.881499,12.508306,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:09:21Z,bistro,TARGET,False,existing,Al Bistrot 91,,osm_overpass,osm,typical_by_type
osm,5973923510,Bar Aosta Nouveau Bistrot,,"Via Aosta 15, 00182, Roma",Roma,41.882823,12.514225,,,,,,,Mo-Sa 07:00-20:00,False,,no_price,2026-06-02T10:09:21Z,bistro,TARGET,False,existing,Bar Aosta Nouveau Bistrot,,osm_overpass,osm,osm
osm,2472305905,Bar Bistrot,,"Via Giambattista Vico 13/15, Roma",Roma,41.912614,12.474464,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:09:21Z,bistro,TARGET,False,existing,Bar Bistrot,,osm_overpass,osm,typical_by_type
osm,5825451156,Bistro Ave,,Roma,Roma,41.902575,12.462763,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:09:21Z,bistro,TARGET,False,existing,Bistro Ave,,osm_overpass,osm,typical_by_type
osm,12895401127,Bistro Monti,,"Piazza dell'Esquilino 39, Roma",Roma,41.898453,12.496406,,,,,,,10:00-23:00,False,,no_price,2026-06-02T10:09:21Z,bistro,TARGET,False,existing,Bistro Monti,,osm_overpass,osm,osm
osm,5555074109,Bistrot 139,,"Via dell'Imbrecciato 139, Roma",Roma,41.849226,12.446401,,,,,+39 06 5527 1002,,Mo-Fr 06:00-00:00; Sa 07:00-01:00,False,,no_price,2026-06-02T10:09:21Z,bistro,TARGET,False,existing,Bistrot 139,,osm_overpass,osm,osm
osm,13061884574,Bistrot Giudice,,Roma,Roma,41.904903,12.471368,,,,,,,Mo-Sa 09:00-21:00,False,,no_price,2026-06-02T10:09:21Z,bistro,TARGET,False,existing,Bistrot Giudice,,osm_overpass,osm,osm
osm,12592994706,Bistro’ 46,,"Via Filippo Parlatore 46, Roma",Roma,41.890240,12.564417,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:09:21Z,bistro,TARGET,False,existing,Bistro’ 46,,osm_overpass,osm,typical_by_type
osm,7425270424,Café bistrot L'artigiano matto,,"Viale di Porta Tiburtina 6, 00185, Roma",Roma,41.897127,12.510802,,,,,,,"Mo-Fr 06:30-13:00,15:30-19:15",False,,no_price,2026-06-02T10:09:21Z,bistro,TARGET,False,existing,Café bistrot L'artigiano matto,,osm_overpass,osm,osm
