source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,opening_hours,retrieved_at
thefork,801007,Drinkiamo Bistrot,https://www.thefork.it/ristorante/drinkiamo-bistrot-r801007,"Via Imperia, 13, 20142, Milano",Milano,45.441772,9.173640,"Piatti vegetariani, Americano, Italiano, Europeo",€,9.4,,,,2026-06-02T09:27:48Z
thefork,46213,Ristorante Rubacuori,https://www.thefork.it/ristorante/ristorante-rubacuori-r46213,"Corso Concordia, 1, 20129, Milano",Milano,45.468295,9.207408,"Opzioni senza glutine, Piatti vegetariani, Cucina locale, Di Carne, Di Pesce, Italiano, Lombardo, Mediterraneo, Europeo",€€€€,9.5,,,,2026-06-02T09:27:48Z
thefork,822889,Mimì Milano,https://www.thefork.it/ristorante/mimi-milano-r822889,"Via Antonio Fogazzaro, 7, 20135, Milano",Milano,45.458475,9.207418,"Di Pesce, Italiano, Pizzeria, Europeo",€€,9.2,,,,2026-06-02T09:27:48Z
thefork,837811,Casa Curci,https://www.thefork.it/ristorante/casa-curci-r837811,"Corso di Porta Romana, 103, 20122, Milano",Milano,45.454496,9.198843,"Piatti vegetariani, Italiano, Europeo",€€,9.1,,,,2026-06-02T09:27:48Z
thefork,842320,Norcineria Nobili - Bezzecca,https://www.thefork.it/ristorante/norcineria-nobili-bezzecca-r842320,"Via Bezzecca, 9, 20135, Milano",Milano,45.461020,9.210818,"Piatti vegetariani, Mediterraneo, Umbro, Europeo, Italiano",€€€,9.3,,,,2026-06-02T09:27:48Z
thefork,812803,Fresca Pasta Club,https://www.thefork.it/ristorante/fresca-pasta-club-r812803,"Viale Piave, 33, 20129, Milano",Milano,45.472708,9.206303,"Opzioni senza glutine, Piatti vegani, Piatti vegetariani, Italiano, Lombardo, Mediterraneo, Milanese, Piacentino, Piemontese, Pugliese, Toscano, Europeo, Di Carne",€€,8.9,,,,2026-06-02T09:27:48Z
thefork,809263,Ci Sta Buenos Aires ,https://www.thefork.it/ristorante/ci-sta-buenos-aires-r809263,"Via Federico Ozanam, 11, 20129, Milano",Milano,45.480557,9.212958,"Italiano, Europeo",€€,8.8,,,,2026-06-02T09:27:48Z
thefork,729442,Lievità Sempione - Pizzeria Gourmet,https://www.thefork.it/ristorante/lievita-sempione-pizzeria-gourmet-r729442,"Via Piero della Francesca, 31, 20154, Milano",Milano,45.483874,9.163691,"Piatti vegani, Piatti vegetariani, Pizzeria, Europeo, Italiano",€€,8.8,,,,2026-06-02T09:27:48Z
thefork,734886,Lievità Sottocorno - Pizzeria Gourmet,https://www.thefork.it/ristorante/lievita-sottocorno-pizzeria-gourmet-r734886,"Via Pasquale Sottocorno, 17, 20129, Milano",Milano,45.466018,9.210154,"Piatti vegani, Pizzeria, Europeo, Italiano",€€,8.9,,,,2026-06-02T09:27:48Z
thefork,850587,Grammeat Milano,https://www.thefork.it/ristorante/grammeat-milano-r850587,"Piazza Sempione, 5, 20145, Milano",Milano,45.475885,9.171318,"Di Carne, Di Pesce, Italiano, Europeo",€€€,9,,,,2026-06-02T09:27:48Z
thefork,62443,Lobster&More Trattoria Brera,https://www.thefork.it/ristorante/lobster-more-trattoria-brera-r62443,"Via Palermo, 20, 20121, Milano",Milano,45.475562,9.184079,"Cucina locale, Di Pesce, Italiano, Mediterraneo, Milanese, Europeo, Lombardo",€€€,9.1,,,,2026-06-02T09:27:48Z
