source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at,venue_type,target_classification,has_price,geocoding_confidence,all_names,nil_quartiere,name_source,source_provenance,opening_hours_source
osm,12652057107,Aperitivo al Mochino,,Torino,Torino,45.103397,7.760164,,,,,,,"Mo-Th 06:30-20:00; Fr 06:30-20:30; Sa,Su 07:30-20:00",False,,no_price,2026-06-02T10:13:16Z,aperitivo_bar,TARGET,False,existing,Aperitivo al Mochino,,osm_overpass,osm,osm
osm,1447713441,Bistro' caffè,,"Via Italia 70, Torino",Torino,45.101658,7.594422,,,,,+393714372666,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:16Z,bistro,TARGET,False,existing,Bistro' caffè,,osm_overpass,osm,typical_by_type
osm,1622421003,Bistrot Mirafiori,,Torino,Torino,45.013629,7.623895,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:16Z,bistro,TARGET,False,existing,Bistrot Mirafiori,,osm_overpass,osm,typical_by_type
osm,10004808383,Caffetteria Bistrot Carle,,"Via Fratelli Carle 7d, Torino",Torino,45.052416,7.662564,,,,,+39 349 5056873,https://ldiscorde.wixsite.com/website,Su off,False,,no_price,2026-06-02T10:13:16Z,bistro,TARGET,False,existing,Caffetteria Bistrot Carle,,osm_overpass,osm,osm
osm,5152012366,Efeso Bistrot Café,,"Via Giuseppe Verdi 20, Torino",Torino,45.068138,7.692694,,,,,,,Mo-Su 08:00-24:00,False,,no_price,2026-06-02T10:13:16Z,bistro,TARGET,False,existing,Efeso Bistrot Café,,osm_overpass,osm,osm
osm,1244292216,G&V Bistrot Caffè,,Torino,Torino,45.082771,7.675608,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:16Z,bistro,TARGET,False,existing,G&V Bistrot Caffè,,osm_overpass,osm,typical_by_type
osm,4667550953,Il Bistrot,,"Corso Inghilterra 43, 10138, Torino",Torino,45.074701,7.666675,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:16Z,bistro,TARGET,False,existing,Il Bistrot,,osm_overpass,osm,typical_by_type
osm,10065504885,Le Petit Bistrot,,"Via San Donato 45d, Torino",Torino,45.080793,7.663227,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:16Z,bistro,TARGET,False,existing,Le Petit Bistrot,,osm_overpass,osm,typical_by_type
osm,83093081,Nelìda bistrot,,Torino,Torino,45.062509,7.663306,,,,,,,Mo-Fr 08:00-21:00; Sa 09:30-20:00,False,,no_price,2026-06-02T10:13:16Z,bistro,TARGET,False,existing,Nelìda bistrot,,osm_overpass,osm,osm
osm,2923386028,O' bistrot e Masaniello,,Torino,Torino,45.089712,7.706653,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:13:16Z,bistro,TARGET,False,existing,O' bistrot e Masaniello,,osm_overpass,osm,typical_by_type
