source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at,venue_type,target_classification,has_price,geocoding_confidence,all_names,nil_quartiere,name_source,source_provenance,opening_hours_source
osm,4449378072,Bar Cupido Bistrot,,"Fondamente Nove 5043, 30121, Venezia",Venezia,45.442884,12.340802,,,,,+39 041 523 5687,,Mo-Su 05:30-22:00,False,,no_price,2026-06-02T10:14:04Z,bistro,TARGET,False,existing,Bar Cupido Bistrot,,osm_overpass,osm,osm
osm,4857557094,Bistrot Santa Lucia,,Venezia,Venezia,45.440725,12.320418,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:14:04Z,bistro,TARGET,False,existing,Bistrot Santa Lucia,,osm_overpass,osm,typical_by_type
osm,5341614921,Caffé Bistrot,,"Rio Tera' San Leonardo 1409, 30121, Venezia",Venezia,45.443991,12.328355,,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T10:14:04Z,bistro,TARGET,False,existing,Caffé Bistrot,,osm_overpass,osm,typical_by_type
osm,11112824528,1000,,Venezia,Venezia,45.443296,12.331179,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,1000,,osm_overpass,osm,typical_by_type
osm,5938408385,12 Oz Coffee Joint,,"3938;3940;3942, Venezia",Venezia,45.441064,12.334367,,,,,+39 041 237 6641,,"Mo-Th 08:00-18:00; Fr,Sa 08:00-19:00; Su 08:00-18:00",False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,12 Oz Coffee Joint,,osm_overpass,osm,osm
osm,5048106776,A La Vecia Papussa,,"Fondamenta de la Misericordia 2612, 30121, Venezia",Venezia,45.445014,12.330613,,,,,+390415256030,http://alaveciapapussa.it/,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,A La Vecia Papussa,,osm_overpass,osm,typical_by_type
osm,7797035492,Ae dò Ombre,,"Via Giuseppe Garibaldi 1476, Venezia",Venezia,45.432171,12.353579,,,,,,https://aedoombre.com/,Mo-Su 09:00-01:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,Ae dò Ombre,,osm_overpass,osm,osm
osm,6611821885,AE Veste,,Venezia,Venezia,45.433456,12.334275,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,AE Veste,,osm_overpass,osm,typical_by_type
osm,4216768831,Ai DiVini,,"5905, 30121, Venezia",Venezia,45.439646,12.337413,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,Ai DiVini,,osm_overpass,osm,typical_by_type
osm,9200841397,Ai Ragusei,,Venezia,Venezia,45.434916,12.320918,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,Ai Ragusei,,osm_overpass,osm,typical_by_type
osm,4195435790,Ai Santi,,"Calle de l'Oca 4430, 30121, Venezia",Venezia,45.440650,12.336306,,,,,+39 041 5285590,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,Ai Santi,,osm_overpass,osm,typical_by_type
osm,5842486919,Al Bateo Centrale,,Venezia,Venezia,45.426579,12.325504,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,Al Bateo Centrale,,osm_overpass,osm,typical_by_type
osm,976018825,Al Cant(on) The Beach,,Venezia,Venezia,45.418831,12.381776,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,Al Cant(on) The Beach,,osm_overpass,osm,typical_by_type
osm,1202810066,Al Canton,,"Campo San Donato 20, Venezia",Venezia,45.457683,12.357534,,,,,+390415275186,www.osterialcanton.com,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,Al Canton,,osm_overpass,osm,typical_by_type
osm,1777146001,Al canton,,Venezia,Venezia,45.434295,12.316820,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,Al canton,,osm_overpass,osm,typical_by_type
osm,2497573568,Al Canton del Galle,,Venezia,Venezia,45.416265,12.370414,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,Al Canton del Galle,,osm_overpass,osm,typical_by_type
osm,13881645201,Al Cervi,,"Strada Nova 4186, Venezia",Venezia,45.441015,12.334785,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,Al Cervi,,osm_overpass,osm,typical_by_type
osm,4698937794,al cicheto,,"367, 30121, Venezia",Venezia,45.442429,12.322796,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,al cicheto,,osm_overpass,osm,typical_by_type
osm,11215166291,Al Leon Bianco,,"Campo de l'Arsenal 2408, Venezia",Venezia,45.434760,12.349635,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,Al Leon Bianco,,osm_overpass,osm,typical_by_type
osm,4492301496,Al Mercá,,"213, 30125, Venezia",Venezia,45.438962,12.335033,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:14:04Z,cafe,TARGET,False,existing,Al Mercá,,osm_overpass,osm,typical_by_type
