source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at,venue_type,target_classification,has_price,geocoding_confidence,all_names,nil_quartiere,name_source,source_provenance,opening_hours_source
comune_milano,ckan_PE_30107,L'angolo dell'aperitivo,,"Via FIAMMA GALVANO 20, 20129, Milano",Milano,45.464835,9.211294,"g - Bar pasticceria, bar gelateria, cremeria, creperia e simili",,,,,,Mo-Su 17:00-22:00,False,,no_price,2026-06-02T09:38:38Z,aperitivo_bar,AMBIGUOUS_TO_REVIEW,False,existing,L'angolo dell'aperitivo,XXII MARZO,osm_overpass,comune_milano|osm,typical_by_type
comune_milano,ckan_PE_30754,4mat bistrot,,"Via THAON DI REVEL GENOVA 5N03, 20159, Milano",Milano,45.491214,9.188842,"a - Ristorante, trattoria, osteria con cucina e simili; g - Bar pasticceria, bar gelateria, cremeria, creperia e simili",,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T09:38:38Z,bistro,AMBIGUOUS_TO_REVIEW,False,existing,4mat bistrot,ISOLA,osm_overpass,comune_milano|osm,typical_by_type
thefork,830799,Aimo e Nadia BistRo,,"Via Matteo Bandello, 14, 20123, Milano",Milano,45.463758,9.166735,"Piatti vegetariani, Italiano, Europeo",,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T09:38:38Z,bistro,TARGET,False,existing,Aimo e Nadia BistRo,,thefork,thefork,typical_by_type
thefork,424367,Angelo's bistrot,,"Via Savona, 55, 20144, Milano",Milano,45.452947,9.160561,Mediterraneo,,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T09:38:38Z,bistro,TARGET,False,existing,Angelo's bistrot,,thefork,thefork,typical_by_type
thefork,752637,Anyma Bistrot,,"Via Pietro Maroncelli, 15, 20154, Milano",Milano,45.483350,9.182674,"Italiano, Spagnolo, Europeo",,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T09:38:38Z,bistro,TARGET,False,existing,Anyma Bistrot,,thefork,thefork,typical_by_type
thefork,858935,Atmosfera Bistrot,,"Via Gaetano Previati, 72, 20149, Milano",Milano,45.469966,9.146458,"Piatti vegetariani, Cucina internazionale, Italiano, Mediterraneo, Europeo",,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T09:38:38Z,bistro,TARGET,False,existing,Atmosfera Bistrot,,thefork,thefork,typical_by_type
thefork,824169,B Di Bistrot,,"Via Fra Luca Pacioli, 9, 20144, Milano",Milano,45.456354,9.170955,"Opzioni senza glutine, Piatti vegetariani, Italiano, Mediterraneo, Europeo",,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T09:38:38Z,bistro,TARGET,False,existing,B Di Bistrot,,thefork,thefork,typical_by_type
comune,ddcf05f346,B42 Urban Bistrot Lounge,,Via BALILLA 42,Milano,45.444421,9.182439,"e - Bar gastronomici e simili; f - Bar caffè e simili; h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili",,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T09:38:38Z,bistro,TARGET,False,existing,B42 Urban Bistrot Lounge,,osm_overpass,comune|osm,typical_by_type
thefork,803273,Barabba Pizza Bistrot,,"Via Mosè Bianchi, 3, 20149, Milano",Milano,45.470774,9.151190,"Piatti vegetariani, Italiano, Pizzeria, Europeo",,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T09:38:38Z,bistro,TARGET,False,existing,Barabba Pizza Bistrot,,thefork,thefork,typical_by_type
thefork,201286,Belle Donne Bistrot,,"Via Tortona, 28, I-20144, Milano",Milano,45.457915,9.161273,"Toscano, Di Carne",,,,,,Mo-Su 12:00-00:00,False,,no_price,2026-06-02T09:38:38Z,bistro,TARGET,False,existing,Belle Donne Bistrot,,thefork,thefork,typical_by_type
