source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at
eatbu,amami,Amami,https://amami.eatbu.com/,"Corso Sempione 7, 20145, Milano",Milano,45.4770236,9.1700591,,,,,,,,True,https://amami.eatbu.com/,ok_no_static_prices,2026-06-01T22:54:27.032197Z
eatbu,nicecafe,NICE CAFE',https://nicecafe.eatbu.com/,"VIA ROBERTO LEPETIT 3, 20124, MILANO",Milano,45.4824167,9.2035376,,,,,,,,True,https://nicecafe.eatbu.com/,ok_no_static_prices,2026-06-01T22:54:27.032197Z
eatbu,wavecocktailbar,Wave Cocktail Bar,https://wavecocktailbar.eatbu.com/,"Via Edmondo de Amicis 28, 20123, Milano",Milano,45.4625744,9.1815966,,,,,,,,True,https://wavecocktailbar.eatbu.com/,ok_no_static_prices,2026-06-01T22:54:27.032197Z
eatbu,moscova22,MOSCOVA 22,https://moscova-22.eatbu.com/,"VIA DELLA MOSCOVA 22, 20121, MILANO",Milano,45.4764634,9.1919544,,,,,,,,True,https://moscova-22.eatbu.com/,ok_no_static_prices,2026-06-01T22:54:27.032197Z
eatbu,alkemiamilano,ALKEMIA,https://alkemia-milano.eatbu.com/,"Corso 22 marzo 42, 20135, Milano",Milano,45.4619886,9.2195884,,,,,,,,True,https://alkemia-milano.eatbu.com/,ok_no_static_prices,2026-06-01T22:54:27.032197Z
eatbu,bondmilano,BOND MILANO,https://bondmilano.eatbu.com/,"Via Pasquale Paoli 2, 20143, Milano",Milano,45.4508106,9.1713937,,,,,,,,True,https://bondmilano.eatbu.com/,ok_no_static_prices,2026-06-01T22:54:27.032197Z
eatbu,drincdifferent,drinc. different.,https://drincdifferent.eatbu.com/,"Via Francesco Hayez 13, 20129, Milano",Milano,45.4753094,9.2161522,,,,,,,,True,https://drincdifferent.eatbu.com/,ok_no_static_prices,2026-06-01T22:54:27.032197Z
eatbu,barmirobistro,Bar Miro,https://bar-miro-bistro.eatbu.com/,"Corso Buenos Aires 30, 20124, Milano",Milano,45.4783171,9.2093239,,,,,,,,True,https://bar-miro-bistro.eatbu.com/,ok_no_static_prices,2026-06-01T22:54:27.032197Z
eatbu,bootlegpub,Bootleg Pub,https://bootlegpub.eatbu.com/,"Via Coluccio Salutati 2, 20144, Milano",Milano,45.4638495,9.1604491,,,,,,,,True,https://bootlegpub.eatbu.com/,ok_no_static_prices,2026-06-01T22:54:27.032197Z
eatbu,ittolittos,ITTOLITTOS,https://ittolittos.eatbu.com/,"Via Francesco Olgiati 25, 20143, Milano",Milano,45.4404053,9.1461773,,,,,,,,True,https://ittolittos.eatbu.com/,ok_no_static_prices,2026-06-01T22:54:27.032197Z
eatbu,unplug,UNPLUG,https://unplug.eatbu.com/,"Corso Lodi 8/C, 20135, Milano",Milano,45.4504509,9.2044190,,,,,,,,True,https://unplug.eatbu.com/,ok_no_static_prices,2026-06-01T22:54:27.032197Z
