source_platform,source_venue_id,venue_name,venue_url,address,city,province,region,postal_code,latitude,longitude,categories,barber_category,price_tier,rating,rating_count,phone,website,booking_provider,extraction_status,retrieved_at,vertical
fresha,1903-barber-shop-conegliano-via-camillo-benso-conte-di-cavour-lcv0znxa,1903 Barber Shop,https://www.fresha.com/a/1903-barber-shop-conegliano-via-camillo-benso-conte-di-cavour-lcv0znxa,Via Camillo Benso Conte di Cavour,Conegliano,,Veneto,,45.88462448120117,12.294807434082031,Barbiere,barber,,,,+39 347 425 0804,,fresha,ok,2026-06-02T12:56:20Z,barber
fresha,23-th-street-barber-carignano-via-silvio-pellico-34-p2gbyxhn,23 TH STREET BARBER,https://www.fresha.com/a/23-th-street-barber-carignano-via-silvio-pellico-34-p2gbyxhn,Via Silvio Pellico 34,Carignano,,Piemonte,,44.90305709838867,7.672549724578857,Barbiere,barber,,,,+39 347 778 9401,,fresha,ok,2026-06-02T12:56:20Z,barber
fresha,3k-barber-shop-locarno-vicolo-alla-torre-5-egyani4i,3K Barber Shop,https://www.fresha.com/a/3k-barber-shop-locarno-vicolo-alla-torre-5-egyani4i,Vicolo Alla Torre 5,Locarno,,Ticino,,46.16959762573242,8.794346809387207,Barbiere,barber,,5,765,+41 76 461 33 47,,fresha,ok,2026-06-02T12:56:20Z,barber
fresha,48-barber-roseto-degli-abruzzi-roseto-degli-abruzzi-via-arno-48-kxp79r78,48 Barber,https://www.fresha.com/a/48-barber-roseto-degli-abruzzi-roseto-degli-abruzzi-via-arno-48-kxp79r78,"Roseto degli Abruzzi, Via Arno 48",Roseto Degli Abruzzi,,Abruzzo,,42.666107177734375,14.01984691619873,Barbiere,barber,,,,+39 388 627 9226,,fresha,ok,2026-06-02T12:56:20Z,barber
fresha,a-casa-del-barbiere-pescara-via-giulio-mazzarino-peuov42u,A casa del barbiere,https://www.fresha.com/a/a-casa-del-barbiere-pescara-via-giulio-mazzarino-peuov42u,Via Giulio Mazzarino,Pescara,,Abruzzo,,42.45747756958008,14.22470474243164,Barbiere,barber,,,,+39 327 121 0963,,fresha,ok,2026-06-02T12:56:20Z,barber
fresha,a-g-icone-face-roma-viale-parioli-162-jh9dkuqd,A|G ICONE FACE,https://www.fresha.com/a/a-g-icone-face-roma-viale-parioli-162-jh9dkuqd,Viale Parioli 162,Roma,,Lazio,,41.928531646728516,12.486414909362793,Salone di bellezza,unisex,,,,+39 320 271 6594,,fresha,ok,2026-06-02T12:56:20Z,barber
fresha,ab-nailartist-pavia-via-trecourt-11-yykrziua,AB nailartist,https://www.fresha.com/a/ab-nailartist-pavia-via-trecourt-11-yykrziua,Via Trecourt 11,Pavia,,Lombardia,,45.199737548828125,9.160473823547363,Unghie,unisex,,5,20,+39 345 848 2327,,fresha,ok,2026-06-02T12:56:20Z,barber
fresha,ab-toelettatura-luxury-dalmine-bg-dalmine-via-provinciale-o4q3mp0a,AB Toelettatura Luxury Dalmine BG,https://www.fresha.com/a/ab-toelettatura-luxury-dalmine-bg-dalmine-via-provinciale-o4q3mp0a,Via Provinciale,Dalmine,,Lombardia,,45.645355224609375,9.615079879760742,Toelettatura animali,unisex,,4.9,358,+39 393 803 6500,,fresha,ok,2026-06-02T12:56:20Z,barber
fresha,accademia-barbieri-roma-via-aurelia-511-x9ri8n75,Accademia Barbieri,https://www.fresha.com/a/accademia-barbieri-roma-via-aurelia-511-x9ri8n75,Via Aurelia 511,Roma,,Lazio,,41.897987365722656,12.423604965209961,Barbiere,barber,,,,+39 338 469 6230,,fresha,ok,2026-06-02T12:56:20Z,barber
fresha,acconciature-soleluna-cervia-viale-carlo-forlanini-k7q7pzhj,Acconciature Soleluna,https://www.fresha.com/a/acconciature-soleluna-cervia-viale-carlo-forlanini-k7q7pzhj,Viale Carlo Forlanini,Cervia,,Emilia-Romagna,,44.273128509521484,12.327116012573242,Parrucchiere,unisex,,5,377,+39 0544 992895,,fresha,ok,2026-06-02T12:56:20Z,barber
fresha,adele-and-gigi-parrucchieri-calolziocorte-largo-giuseppe-garibaldi-2-ey3154ii,Adele and Gigi Parrucchieri,https://www.fresha.com/a/adele-and-gigi-parrucchieri-calolziocorte-largo-giuseppe-garibaldi-2-ey3154ii,Largo Giuseppe Garibaldi 2,Calolziocorte,,Lombardia,,45.800819396972656,9.431763648986816,Parrucchiere,unisex,,,,+39 347 156 8900,,fresha,ok,2026-06-02T12:56:20Z,barber
fresha,adestetic-milano-srl-milano-via-curtatone-16-exzeqhrz,Adestetic Milano Srl,https://www.fresha.com/a/adestetic-milano-srl-milano-via-curtatone-16-exzeqhrz,Via Curtatone 16,Milano,,Milano,,45.45513153076172,9.202619552612305,MedSpa,unisex,,4.9,262,+39 333 267 3719,,fresha,ok,2026-06-02T12:56:20Z,barber
