source_platform,source_venue_id,venue_name,venue_url,menu_section,item_name,item_description,raw_price,normalized_price_eur,currency,price_type,item_type,normalized_product,confidence,allergens,retrieved_at,source_url,season,validity_start,validity_end,vertical,peak_or_mid,check_in_date,check_out_date,staging_items,available_spots,booking_available,booking_provider
spiagge,spiagge_2,La Community 27,https://www.spiagge.it/stabilimenti-balneari/2-la-community-27/,PACCHETTO BASE,Lettino singolo – Settimana 1-7 agosto 2026 (peak),Configurazione: 1B | available_spots: 90 | bookable via spiagge.it,"€38,00",38.0,EUR,per_week,beach_service,beach_sunbed,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/2-la-community-27/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1B,90,true,spiagge.it
spiagge,spiagge_5016,Bagni Serre,https://www.spiagge.it/stabilimenti-balneari/5016-bagni-serre/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_2B_1C | available_spots: 17 | bookable via spiagge.it,"€330,00",330.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/5016-bagni-serre/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_2B_1C,17,true,spiagge.it
spiagge,spiagge_2,La Community 27,https://www.spiagge.it/stabilimenti-balneari/2-la-community-27/,PACCHETTO BASE,Lettino singolo – Settimana 15-21 giugno 2026 (mid),Configurazione: 1B | available_spots: 92 | bookable via spiagge.it,"€38,00",38.0,EUR,per_week,beach_service,beach_sunbed,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/2-la-community-27/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1B,92,true,spiagge.it
spiagge,spiagge_5013,Centro Balneare Yellow Boat,https://www.spiagge.it/stabilimenti-balneari/5013-centro-balneare-yellow-boat/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2B | available_spots: 54 | bookable via spiagge.it,"€126,00",126.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/5013-centro-balneare-yellow-boat/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2B,54,true,spiagge.it
spiagge,spiagge_5013,Centro Balneare Yellow Boat,https://www.spiagge.it/stabilimenti-balneari/5013-centro-balneare-yellow-boat/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_2B | available_spots: 35 | bookable via spiagge.it,"€189,00",189.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/5013-centro-balneare-yellow-boat/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_2B,35,true,spiagge.it
spiagge,spiagge_5016,Bagni Serre,https://www.spiagge.it/stabilimenti-balneari/5016-bagni-serre/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2B_1C | available_spots: 48 | bookable via spiagge.it,"€230,00",230.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/5016-bagni-serre/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2B_1C,48,true,spiagge.it
spiagge,spiagge_5011,Bagni Kursaal,https://www.spiagge.it/stabilimenti-balneari/5011-bagni-kursaal/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2B | available_spots: 24 | bookable via spiagge.it,"€186,00",186.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/5011-bagni-kursaal/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2B,24,true,spiagge.it
spiagge,spiagge_5012,Bagno Holiday Village,https://www.spiagge.it/stabilimenti-balneari/5012-bagno-holiday-village/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2B | available_spots: 57 | bookable via spiagge.it,"€210,00",210.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/5012-bagno-holiday-village/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2B,57,true,spiagge.it
spiagge,spiagge_5004,Bagno Sauro 286,https://www.spiagge.it/stabilimenti-balneari/5004-bagno-sauro-286/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2B | available_spots: 52 | bookable via spiagge.it,"€201,00",201.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/5004-bagno-sauro-286/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2B,52,true,spiagge.it
spiagge,spiagge_5012,Bagno Holiday Village,https://www.spiagge.it/stabilimenti-balneari/5012-bagno-holiday-village/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_2B | available_spots: 7 | bookable via spiagge.it,"€210,00",210.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/5012-bagno-holiday-village/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_2B,7,true,spiagge.it
spiagge,spiagge_5004,Bagno Sauro 286,https://www.spiagge.it/stabilimenti-balneari/5004-bagno-sauro-286/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_2B | available_spots: 53 | bookable via spiagge.it,"€201,00",201.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/5004-bagno-sauro-286/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_2B,53,true,spiagge.it
spiagge,spiagge_10007,Sabbia Bianca Rimini 144-145,https://www.spiagge.it/stabilimenti-balneari/10007-bagno-rudy-144-145/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_2B | available_spots: 221 | bookable via spiagge.it,"€130,00",130.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10007-bagno-rudy-144-145/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_2B,221,true,spiagge.it
spiagge,spiagge_10007,Sabbia Bianca Rimini 144-145,https://www.spiagge.it/stabilimenti-balneari/10007-bagno-rudy-144-145/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2B | available_spots: 176 | bookable via spiagge.it,"€115,00",115.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10007-bagno-rudy-144-145/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2B,176,true,spiagge.it
spiagge,spiagge_10005,Lido Cristalda Beach,https://www.spiagge.it/stabilimenti-balneari/10005-lido-cristalda-beach/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2B | available_spots: 373 | bookable via spiagge.it,"€84,00",84.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10005-lido-cristalda-beach/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2B,373,true,spiagge.it
spiagge,spiagge_10005,Lido Cristalda Beach,https://www.spiagge.it/stabilimenti-balneari/10005-lido-cristalda-beach/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_2B | available_spots: 359 | bookable via spiagge.it,"€175,00",175.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10005-lido-cristalda-beach/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_2B,359,true,spiagge.it
spiagge,spiagge_10021,Bagni St. Tropez,https://www.spiagge.it/stabilimenti-balneari/10021-bagni-st--tropez/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2B_1C | available_spots: 10 | bookable via spiagge.it,"€140,00",140.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10021-bagni-st--tropez/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2B_1C,10,true,spiagge.it
