source_platform,source_venue_id,venue_name,venue_url,menu_section,item_name,item_description,raw_price,normalized_price_eur,currency,price_type,item_type,normalized_product,confidence,allergens,retrieved_at,source_url,season,validity_start,validity_end,vertical
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,1a FILA,Ombrellone+attrezzature 1a fila – stagionale,Stagione completa 17/5-14/9,"€6.400,00",6400.0,EUR,per_season,beach_service,beach_umbrella_first_row,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,1a FILA,Ombrellone+attrezzature 1a fila – giornaliero luglio,Prezzo zona/giorno luglio,"€120,00",120.0,EUR,per_day,beach_service,beach_umbrella_first_row,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,1a FILA,Ombrellone+attrezzature 1a fila – giornaliero giugno,Prezzo zona/giorno giugno,"€100,00",100.0,EUR,per_day,beach_service,beach_umbrella_first_row,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,1a FILA,Ombrellone+attrezzature 1a fila – mensile luglio,Mese di luglio 31gg,"€3.074,00",3074.0,EUR,per_month,beach_service,beach_umbrella_first_row,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,1a FILA,Ombrellone+attrezzature 1a fila – offerta lug-ago,Offerta 2 mesi luglio+agosto,"€5.200,00",5200.0,EUR,per_month,beach_service,beach_umbrella_first_row,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,2a FILA,Ombrellone+attrezzature 2a fila – stagionale,Stagione completa,"€4.100,00",4100.0,EUR,per_season,beach_service,beach_umbrella_standard,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,2a FILA,Ombrellone+attrezzature 2a fila – giornaliero luglio,Prezzo zona/giorno,"€100,00",100.0,EUR,per_day,beach_service,beach_umbrella_standard,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,2a FILA,Ombrellone+attrezzature 2a fila – mensile luglio,Mensile,"€2.255,00",2255.0,EUR,per_month,beach_service,beach_umbrella_standard,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,3a FILA,Ombrellone+attrezzature 3a fila – stagionale,Stagione completa,"€3.450,00",3450.0,EUR,per_season,beach_service,beach_umbrella_standard,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,3a FILA,Ombrellone+attrezzature 3a fila – giornaliero luglio,Prezzo zona/giorno,"€80,00",80.0,EUR,per_day,beach_service,beach_umbrella_standard,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,MINICAPANNE,Minicapanna – stagionale,Stagione completa minicapanna,"€2.400,00",2400.0,EUR,per_season,beach_service,beach_cabin_season,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,MINICAPANNE,Minicapanna – giornaliero luglio,Prezzo zona/giorno,"€55,00",55.0,EUR,per_day,beach_service,beach_cabin_day,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,MINICAPANNE,Minicapanna – offerta lug-ago,2 mesi luglio+agosto,"€1.800,00",1800.0,EUR,per_month,beach_service,beach_cabin_season,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,CAMERINI,Camerino – stagionale,Stagione completa camerino,"€1.500,00",1500.0,EUR,per_season,beach_service,beach_cabin_season,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,CAMERINI,Camerino – giornaliero luglio,Prezzo zona/giorno luglio,"€45,00",45.0,EUR,per_day,beach_service,beach_cabin_day,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
direct_website,capli_lido_venezia,Stabilimento Balneare C.A.P.LI.,https://www.visitlido.it/,CAMERINI,Camerino – mensile luglio,Mensile luglio,"€760,00",760.0,EUR,per_month,beach_service,beach_cabin_season,high,,2026-06-01T16:30:00Z,https://www.visitlido.it/wp-content/uploads/2025/02/LISTINO-2025.pdf,summer_2026,2026-05-01,2026-09-30,beach
