master_source_venue_id,field,old_value,new_value,source
node/9101951378,address,,Cda torre rotonda località prima cala,spiagge:5005
node/9101951378,city,,Molfetta,spiagge:5005
node/9101951378,region,,Puglia,spiagge:5005
node/9101951378,postal_code,,70056,spiagge:5005
node/9101951378,booking_provider,,spiagge.it,spiagge:5005
node/7207039722,address,,"Passeggiata Angelo Ciccione, 41",spiagge:5016
node/7207039722,city,,Alassio,spiagge:5016
node/7207039722,region,,Liguria,spiagge:5016
node/7207039722,postal_code,,17021,spiagge:5016
node/7207039722,booking_provider,,spiagge.it,spiagge:5016
node/11534530980,address,,Lungomare Leopoldo II di Lorena 75,spiagge:5007
node/11534530980,city,,Grosseto,spiagge:5007
node/11534530980,region,,Toscana,spiagge:5007
node/11534530980,postal_code,,58100,spiagge:5007
node/11534530980,booking_provider,,spiagge.it,spiagge:5007
way/772017441,address,,Via Avenaggi,spiagge:5009
way/772017441,city,,Rapallo,spiagge:5009
way/772017441,region,,Liguria,spiagge:5009
way/772017441,postal_code,,16035,spiagge:5009
way/772017441,booking_provider,,spiagge.it,spiagge:5009
way/366345554,address,,Viale Nettuno,spiagge:10001
way/366345554,city,,Bernalda,spiagge:10001
way/366345554,region,,Basilicata,spiagge:10001
way/366345554,postal_code,,75012,spiagge:10001
way/366345554,booking_provider,,spiagge.it,spiagge:10001
node/7204989822,address,,Viale Torino 9,spiagge:5011
node/7204989822,city,,Diano Marina,spiagge:5011
node/7204989822,region,,Liguria,spiagge:5011
node/7204989822,postal_code,,18013,spiagge:5011
node/7204989822,booking_provider,,spiagge.it,spiagge:5011
node/5284725552,address,,Via Giuseppe Barellai 41,spiagge:10002
node/5284725552,city,,Viareggio,spiagge:10002
node/5284725552,region,,Toscana,spiagge:10002
node/5284725552,postal_code,,55049,spiagge:10002
node/5284725552,booking_provider,,spiagge.it,spiagge:10002
way/160382355,address,,Via XII Traversa,spiagge:5012
way/160382355,city,,Milano Marittima,spiagge:5012
way/160382355,region,,Emilia-Romagna,spiagge:5012
way/160382355,postal_code,,48015,spiagge:5012
way/160382355,booking_provider,,spiagge.it,spiagge:5012
node/5693937947,address,,"Viale Di Focene, 269",spiagge:10011
node/5693937947,city,,Fiumicino,spiagge:10011
node/5693937947,region,,Lazio,spiagge:10011
node/5693937947,postal_code,,00054,spiagge:10011
node/5693937947,booking_provider,,spiagge.it,spiagge:10011
node/7563544359,region,,Sicilia,spiagge:10017
node/7563544359,booking_provider,,spiagge.it,spiagge:10017
node/7207039701,address,,Passeggiata C.Colombo snc,spiagge:10021
node/7207039701,city,,Laigueglia,spiagge:10021
node/7207039701,region,,Liguria,spiagge:10021
node/7207039701,postal_code,,17053,spiagge:10021
node/7207039701,booking_provider,,spiagge.it,spiagge:10021
way/437301963,address,,Via Nettuno Snc,spiagge:10016
way/437301963,city,,Chieuti,spiagge:10016
way/437301963,region,,Puglia,spiagge:10016
way/437301963,postal_code,,71010,spiagge:10016
way/437301963,booking_provider,,spiagge.it,spiagge:10016
node/4677305209,address,,"Lungomare A. Diaz, SNC",spiagge:10022
node/4677305209,city,,Ceriale,spiagge:10022
node/4677305209,region,,Liguria,spiagge:10022
node/4677305209,postal_code,,17023,spiagge:10022
node/4677305209,booking_provider,,spiagge.it,spiagge:10022
node/10823817920,city,,Francavilla al Mare,spiagge:10034
node/10823817920,region,,Abruzzo,spiagge:10034
node/10823817920,postal_code,,66023,spiagge:10034
node/10823817920,booking_provider,,spiagge.it,spiagge:10034
node/11655576568,address,,Contrada Fossaruna snc,spiagge:10042
node/11655576568,city,,Marsala,spiagge:10042
node/11655576568,region,,Sicilia,spiagge:10042
node/11655576568,postal_code,,91025,spiagge:10042
node/11655576568,booking_provider,,spiagge.it,spiagge:10042
way/1480398995,address,,Strada Delle Marche snc,spiagge:10027
way/1480398995,city,,Pesaro,spiagge:10027
way/1480398995,region,,Marche,spiagge:10027
way/1480398995,postal_code,,61122,spiagge:10027
way/1480398995,booking_provider,,spiagge.it,spiagge:10027
node/4370292689,region,,Abruzzo,spiagge:10030
node/4370292689,booking_provider,,spiagge.it,spiagge:10030
node/4377124049,region,,Toscana,spiagge:10036
node/4377124049,booking_provider,,spiagge.it,spiagge:10036
way/765607019,address,,"Via G. Marconi, 68",spiagge:10068
way/765607019,city,,Vallecrosia,spiagge:10068
way/765607019,region,,Liguria,spiagge:10068
way/765607019,postal_code,,18019,spiagge:10068
way/765607019,booking_provider,,spiagge.it,spiagge:10068
node/5923133033,region,,Toscana,spiagge:10051
node/5923133033,booking_provider,,spiagge.it,spiagge:10051
node/12073225386,address,,Via Giuliano Dati 113 h,spiagge:10058
node/12073225386,city,,Rimini,spiagge:10058
node/12073225386,region,,Emilia-Romagna,spiagge:10058
node/12073225386,postal_code,,47922,spiagge:10058
node/12073225386,booking_provider,,spiagge.it,spiagge:10058
node/2718189099,region,,Emilia-Romagna,spiagge:10054
node/2718189099,booking_provider,,spiagge.it,spiagge:10054
node/5694161692,city,,Camaiore,spiagge:10060
node/5694161692,region,,Toscana,spiagge:10060
node/5694161692,postal_code,,55043,spiagge:10060
node/5694161692,booking_provider,,spiagge.it,spiagge:10060
node/921667864,address,,Via Belvedere 44,spiagge:10074
node/921667864,city,,Tirrenia,spiagge:10074
node/921667864,region,,Toscana,spiagge:10074
node/921667864,postal_code,,56128,spiagge:10074
node/921667864,booking_provider,,spiagge.it,spiagge:10074
way/954992710,address,,"Via Iv Novembre, SNC",spiagge:10078
way/954992710,city,,Civitanova Marche,spiagge:10078
way/954992710,region,,Marche,spiagge:10078
way/954992710,postal_code,,62012,spiagge:10078
way/954992710,booking_provider,,spiagge.it,spiagge:10078
way/730162573,address,,"Via Largo Lido, Piazza Esperia",spiagge:10111
way/730162573,city,,Policoro,spiagge:10111
way/730162573,region,,Basilicata,spiagge:10111
way/730162573,postal_code,,75025,spiagge:10111
way/730162573,booking_provider,,spiagge.it,spiagge:10111
node/8827595975,address,,Lungomare C. Colombo Ang. Via Dalmazia,spiagge:10071
node/8827595975,city,,Margherita di Savoia,spiagge:10071
node/8827595975,region,,Puglia,spiagge:10071
node/8827595975,postal_code,,76016,spiagge:10071
node/8827595975,booking_provider,,spiagge.it,spiagge:10071
way/1427228373,address,,Via Vittorio Veneto snc,spiagge:10087
way/1427228373,city,,Jesolo,spiagge:10087
way/1427228373,region,,Veneto,spiagge:10087
way/1427228373,postal_code,,30016,spiagge:10087
way/1427228373,booking_provider,,spiagge.it,spiagge:10087
way/452541861,address,,Viale europa 104,spiagge:10089
way/452541861,city,,Camaiore,spiagge:10089
way/452541861,region,,Toscana,spiagge:10089
way/452541861,postal_code,,55041,spiagge:10089
way/452541861,booking_provider,,spiagge.it,spiagge:10089
way/536051776,address,,via litoranea 76,spiagge:10114
way/536051776,city,,Torre Del Greco,spiagge:10114
way/536051776,region,,Campania,spiagge:10114
way/536051776,postal_code,,80059,spiagge:10114
way/536051776,booking_provider,,spiagge.it,spiagge:10114
node/11038781473,address,,"Strada Provinciale Mattinata, 20",spiagge:10118
node/11038781473,city,,Vieste,spiagge:10118
node/11038781473,region,,Puglia,spiagge:10118
node/11038781473,postal_code,,71019,spiagge:10118
node/11038781473,booking_provider,,spiagge.it,spiagge:10118
way/615986719,address,,via nazionale 777 Bocale Presso spiaggia Calypso,spiagge:10125
way/615986719,city,,Reggio Calabria,spiagge:10125
way/615986719,region,,Calabria,spiagge:10125
way/615986719,postal_code,,89134,spiagge:10125
way/615986719,booking_provider,,spiagge.it,spiagge:10125
node/921667818,city,,Tirrenia,spiagge:10124
node/921667818,region,,Toscana,spiagge:10124
node/921667818,postal_code,,56128,spiagge:10124
node/921667818,booking_provider,,spiagge.it,spiagge:10124
node/2375352578,address,,Viale Del Tirreno 16,spiagge:10122
node/2375352578,city,,Tirrenia,spiagge:10122
node/2375352578,region,,Toscana,spiagge:10122
node/2375352578,postal_code,,56128,spiagge:10122
node/2375352578,booking_provider,,spiagge.it,spiagge:10122
node/10013919044,address,,via Salvatore Todaro snc,spiagge:10127
node/10013919044,city,,Eboli,spiagge:10127
node/10013919044,region,,Campania,spiagge:10127
node/10013919044,postal_code,,84025,spiagge:10127
node/10013919044,booking_provider,,spiagge.it,spiagge:10127
node/9834321375,address,,"Via Lungomare, SNC",spiagge:10133
node/9834321375,city,,Locri,spiagge:10133
node/9834321375,region,,Calabria,spiagge:10133
node/9834321375,postal_code,,89044,spiagge:10133
node/9834321375,booking_provider,,spiagge.it,spiagge:10133
node/12897981335,address,,Viale Europa 25,spiagge:10131
node/12897981335,city,,Viareggio,spiagge:10131
node/12897981335,region,,Toscana,spiagge:10131
node/12897981335,postal_code,,55049,spiagge:10131
node/12897981335,booking_provider,,spiagge.it,spiagge:10131
node/10847470144,address,,"Piazzale Tirreno, 4",spiagge:10138
node/10847470144,city,,Principina a Mare,spiagge:10138
node/10847470144,region,,Toscana,spiagge:10138
node/10847470144,postal_code,,58100,spiagge:10138
node/10847470144,booking_provider,,spiagge.it,spiagge:10138
node/11084262709,address,,Lungomare Sirena snc,spiagge:10136
node/11084262709,city,,Tortoreto,spiagge:10136
node/11084262709,region,,Abruzzo,spiagge:10136
node/11084262709,postal_code,,64018,spiagge:10136
node/11084262709,booking_provider,,spiagge.it,spiagge:10136
way/621951239,address,,"Via Papa Giovanni Paolo I, 6",spiagge:10150
way/621951239,city,,Ginosa,spiagge:10150
way/621951239,region,,Puglia,spiagge:10150
way/621951239,postal_code,,74025,spiagge:10150
way/621951239,booking_provider,,spiagge.it,spiagge:10150
node/4374556009,city,,Rodi Garganico,spiagge:10149
node/4374556009,region,,Puglia,spiagge:10149
node/4374556009,postal_code,,71012,spiagge:10149
node/4374556009,booking_provider,,spiagge.it,spiagge:10149
way/130632944,address,,"Piazza America, 65",spiagge:10152
way/130632944,city,,Pietrasanta,spiagge:10152
way/130632944,region,,Toscana,spiagge:10152
way/130632944,postal_code,,55045,spiagge:10152
way/130632944,booking_provider,,spiagge.it,spiagge:10152
way/626400526,region,,Marche,spiagge:10155
way/626400526,booking_provider,,spiagge.it,spiagge:10155
way/1387973695,address,,Lungomare Sergio Piermanni 2,spiagge:10156
way/1387973695,city,,Civitanova Marche,spiagge:10156
way/1387973695,region,,Marche,spiagge:10156
way/1387973695,postal_code,,62012,spiagge:10156
way/1387973695,booking_provider,,spiagge.it,spiagge:10156
way/1422252165,address,,"Via del Golfo, 27",spiagge:10157
way/1422252165,city,,Numana,spiagge:10157
way/1422252165,region,,Marche,spiagge:10157
way/1422252165,postal_code,,60026,spiagge:10157
way/1422252165,booking_provider,,spiagge.it,spiagge:10157
node/4101133936,address,,Lungomare C. Colombo 55,spiagge:10177
node/4101133936,city,,Margherita Di Savoia,spiagge:10177
node/4101133936,region,,Puglia,spiagge:10177
node/4101133936,postal_code,,76016,spiagge:10177
node/4101133936,booking_provider,,spiagge.it,spiagge:10177
way/702791700,address,,V.le Europa 16,spiagge:10167
way/702791700,city,,Viareggio,spiagge:10167
way/702791700,region,,Toscana,spiagge:10167
way/702791700,postal_code,,55049,spiagge:10167
way/702791700,booking_provider,,spiagge.it,spiagge:10167
node/8963717307,region,,Campania,spiagge:10166
node/8963717307,postal_code,,84059,spiagge:10166
node/8963717307,booking_provider,,spiagge.it,spiagge:10166
node/13157758912,address,,"Viale Golfo di Quartu, 51a",spiagge:10162
node/13157758912,city,,Quartu Sant'Elena,spiagge:10162
node/13157758912,region,,Sardegna,spiagge:10162
node/13157758912,postal_code,,09126,spiagge:10162
node/13157758912,booking_provider,,spiagge.it,spiagge:10162
way/129196001,address,,"Viale Bernardini, 600",spiagge:10169
way/129196001,city,,Camaiore,spiagge:10169
way/129196001,region,,Toscana,spiagge:10169
way/129196001,postal_code,,55041,spiagge:10169
way/129196001,booking_provider,,spiagge.it,spiagge:10169
way/1486818117,address,,Fosso Seyore snc,spiagge:10172
way/1486818117,city,,Fosso Sejore,spiagge:10172
way/1486818117,region,,Marche,spiagge:10172
way/1486818117,postal_code,,61032,spiagge:10172
way/1486818117,booking_provider,,spiagge.it,spiagge:10172
way/202605340,address,,P.to Viale Marconi snc,spiagge:10170
way/202605340,city,,Noli,spiagge:10170
way/202605340,region,,Liguria,spiagge:10170
way/202605340,postal_code,,17026,spiagge:10170
way/202605340,booking_provider,,spiagge.it,spiagge:10170
node/5284705592,address,,Via Giuseppe Barellai 31,spiagge:10174
node/5284705592,city,,Viareggio,spiagge:10174
node/5284705592,region,,Toscana,spiagge:10174
node/5284705592,postal_code,,55049,spiagge:10174
node/5284705592,booking_provider,,spiagge.it,spiagge:10174
node/2909452441,address,,SS 89 snc,spiagge:10178
node/2909452441,city,,Monte Sant'Angelo,spiagge:10178
node/2909452441,region,,Puglia,spiagge:10178
node/2909452441,postal_code,,71037,spiagge:10178
node/2909452441,booking_provider,,spiagge.it,spiagge:10178
way/703504029,address,,Via Piave 72,spiagge:10180
way/703504029,city,,Cesenatico,spiagge:10180
way/703504029,region,,Emilia-Romagna,spiagge:10180
way/703504029,postal_code,,47042,spiagge:10180
way/703504029,booking_provider,,spiagge.it,spiagge:10180
node/6484794978,region,,Toscana,spiagge:10185
node/6484794978,booking_provider,,spiagge.it,spiagge:10185
way/330499327,address,,via Alcide De Gasperi snc-Lungo Mare Mazzeo,spiagge:10198
way/330499327,city,,Taormina,spiagge:10198
way/330499327,region,,Sicilia,spiagge:10198
way/330499327,postal_code,,98039,spiagge:10198
way/330499327,booking_provider,,spiagge.it,spiagge:10198
node/13157749507,address,,"Lungomare Poetto, SNC",spiagge:10199
node/13157749507,city,,Quartu Sant'Elena,spiagge:10199
node/13157749507,region,,Sardegna,spiagge:10199
node/13157749507,postal_code,,09045,spiagge:10199
node/13157749507,booking_provider,,spiagge.it,spiagge:10199
way/1299867435,address,,Statale adriatica,spiagge:10197
way/1299867435,city,,Fosso Sejore,spiagge:10197
way/1299867435,region,,Marche,spiagge:10197
way/1299867435,postal_code,,61032,spiagge:10197
way/1299867435,booking_provider,,spiagge.it,spiagge:10197
way/813494661,address,,Via tre pesci snc,spiagge:10213
way/813494661,city,,Ladispoli,spiagge:10213
way/813494661,region,,Lazio,spiagge:10213
way/813494661,postal_code,,00055,spiagge:10213
way/813494661,booking_provider,,spiagge.it,spiagge:10213
node/10974239251,region,,Marche,spiagge:10214
node/10974239251,postal_code,,60015,spiagge:10214
node/10974239251,booking_provider,,spiagge.it,spiagge:10214
way/813353451,address,,Via Mercurio snc,spiagge:10210
way/813353451,city,,Ladispoli,spiagge:10210
way/813353451,region,,Lazio,spiagge:10210
way/813353451,postal_code,,00055,spiagge:10210
way/813353451,booking_provider,,spiagge.it,spiagge:10210
node/472598507,address,,Viale Dei Tamerigi snc,spiagge:10204
node/472598507,city,,Specchiolla,spiagge:10204
node/472598507,region,,Puglia,spiagge:10204
node/472598507,postal_code,,72012,spiagge:10204
node/472598507,booking_provider,,spiagge.it,spiagge:10204
way/702789490,address,,Viale Europa 10,spiagge:10209
way/702789490,city,,Viareggio,spiagge:10209
way/702789490,region,,Toscana,spiagge:10209
way/702789490,postal_code,,55049,spiagge:10209
way/702789490,booking_provider,,spiagge.it,spiagge:10209
