source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at
comune,944e93adb2,[bar non identificato],,PIAZZA BANDIERA (F.LLI) 13,Milano,45.470853,9.21137,"g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;e - Bar gastronomici e simili",,,,,,,False,,venue_only,2026-05-31T16:38:17.509483+00:00
comune,af6f90098e,[bar non identificato],,VIA MUSSI GIUSEPPE 13,Milano,45.482931,9.166478,e - Bar gastronomici e simili,,,,,,,False,,venue_only,2026-05-31T16:38:17.509483+00:00
comune,43f84e23c4,[bar non identificato],,VIA PALIZZI FILIPPO 119,Milano,45.508437,9.133659,e - Bar gastronomici e simili;f - Bar caffè e simili,,,,,,,False,,venue_only,2026-05-31T16:38:17.509483+00:00
comune,42fdbd39bf,[bar non identificato],,VIA PAOLI ALESSANDRO 2,Milano,45.485352,9.195512,"f - Bar caffè e simili;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili",,,,,,,False,,venue_only,2026-05-31T16:38:17.509483+00:00
comune,4703649b9a,[bar non identificato],,Largo CROCETTA (DELLA) 2,Milano,45.455895,9.195413,e - Bar gastronomici e simili,,,,,,,False,,venue_only,2026-05-31T16:38:17.509483+00:00
comune,fe894a71dc,[bar non identificato],,Via BRESSAN (F.LLI) 44,Milano,45.510435,9.218723,"c - Tavole calde,self service, fast food e simili;e - Bar gastronomici e simili;f - Bar caffè e simili",,,,,,,False,,venue_only,2026-05-31T16:38:17.509483+00:00
comune+osm,25e2f3c146,Mom,,Viale MONTE NERO 51,Milano,45.458811,9.205956,e - Bar gastronomici e simili,,,,,,,False,,venue_only,2026-05-31T16:38:17.509483+00:00
comune,78f1f3e696,[bar non identificato],,VIA DE CRISTOFORIS CARLO 6,Milano,45.481638,9.18937,"a - Ristorante, trattoria, osteria con cucina e simili;b - Ristorante, trattoria, osteria con cucina tipica;f - Bar caffè e simili;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili",,,,,,,False,,venue_only,2026-05-31T16:38:17.509483+00:00
comune+osm,80cbd00454,Lily,,Via MUZIO SCEVOLA 4,Milano,45.483174,9.241006,e - Bar gastronomici e simili,,,,,,,False,,venue_only,2026-05-31T16:38:17.509483+00:00
comune,7d7140f3db,[bar non identificato],,Via FORZE ARMATE (DELLE) 70,Milano,45.463131,9.129105,"g - Bar pasticceria, bar gelateria, cremeria, creperia e simili",,,,,,,False,,venue_only,2026-05-31T16:38:17.509483+00:00
comune,1d7ccfc1a8,[bar non identificato],,Via GREGORIO (SAN) 40,Milano,45.480915,9.201929,e - Bar gastronomici e simili;f - Bar caffè e simili,,,,,,,False,,venue_only,2026-05-31T16:38:17.509483+00:00
