source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at
direct_website,osm_260349649,Victoria's,https://www.victoriasclub.it/,Via Feltre,Milano,45.4910506,9.2390944,pub,,,,+39 02 36723167,https://www.victoriasclub.it/,,False,https://www.victoriasclub.it/cocktail-bar/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_269924613,Radetzky Café,https://www.radetzky.it/,Largo La Foppa 5,Milano,45.478435,9.1850522,bar,,,,+39 02 6572645,https://www.radetzky.it/,,False,https://mycontactlessmenu.mycia.it/r/q/YTgreB1of/menu,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_269924649,Scott Duff,https://scottduff.it/,Via Alessandro Volta 13,Milano,45.4799222,9.1832687,pub,,,,+39 02 29002574,https://scottduff.it/,"Mo-Sa 16:30-02:00, Su 15:00-01:00",False,https://scottduff.it/menu/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_301979235,Wizard,https://thewizardpub.wordpress.com/,Ripa di Porta Ticinese 69,Milano,45.4504343,9.1692493,pub,,,,,https://thewizardpub.wordpress.com/,,False,https://thewizardpub.wordpress.com/le-nostre-birre/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_304775595,Bar Magenta,https://barmagenta.it/,Via Giosuè Carducci 13,Milano,45.465692,9.175656,pub,,,,+39028053808,https://barmagenta.it/,Mo-Su 07:30-02:00,False,https://barmagenta.it/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_316123729,Camarillo Brillo,https://camarillobrillo.business.site/,Via Lodovico il Moro 83,Milano,45.4446001,9.1418269,pub,,,,,https://camarillobrillo.business.site/,,False,https://camarillobrillo.business.site/,error,2026-05-30T20:43:55.019300+00:00
direct_website,osm_318431242,Tin Whistle,https://www.facebook.com/tinwhistlemilano/,Via Lodovico il Moro 55,Milano,45.4451996,9.1446995,pub,,,,,https://www.facebook.com/tinwhistlemilano/,,False,https://www.facebook.com/tinwhistlemilano/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_340096546,Frida,https://www.fridaisola.it/,Via Antonio Pollaiuolo 3,Milano,45.4887512,9.187111,pub,,,,+39 02 680260,https://www.fridaisola.it/,"Mo-Fr 10:00-15:00,18:00-02:00; Sa 16:00-02:00; Su 12:00-01:00",False,https://www.fridaisola.it/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_392260544,Mulligan's,https://mulliganspub.it/,Via Giuseppe Govone 28,Milano,45.4894039,9.1677301,pub,,,,+39 02 09974886,https://mulliganspub.it/,Mo-Sa 18:00-24:00; Tu-Su 24:00-01:00,False,https://mulliganspub.it/birre,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_392260637,The Saints and the Scholars,https://www.thesaintspub.it/,,Milano,45.4890802,9.1675217,pub,,,,,https://www.thesaintspub.it/,,False,https://www.thesaintspub.it/menu/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_408781426,Woodstock,https://www.qodeup.com/woodstock,Via Lodovico il Moro 3,Milano,45.4474586,9.1553746,pub,,,,,https://www.qodeup.com/woodstock,"Mo-Fr 12:00-15:00,18:00-01:30, Sa 18:00-02:00, Su 18:00-01:30",True,https://www.qodeup.com#prices,ok_with_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_418360920,Blues Bikers Pub,https://www.bluesbikerspub.com/,Via Francesco Brioschi 7,Milano,45.446919,9.1805453,pub,,,,,https://www.bluesbikerspub.com/,Tu-Su 19:00-02:00; Mo off,False,https://www.bluesbikerspub.com/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_524320493,Birrificio Lambrate,https://www.birrificiolambrate.com/,Via Privata Adelchi 5,Milano,45.4857051,9.2315149,pub,,,,+39 02 70638678,https://www.birrificiolambrate.com/,"Mo 00:00-02:30; Tu 18:00-24:00; We-Su 00:00-02:30,18:00-24:00",False,https://birrificiolambrate.com/tag-prodotto/birra/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_540813357,55 Milano,https://www.55milano.com/,Via Piero della Francesca 55,Milano,45.4859082,9.16045,bar,,,,,https://www.55milano.com/,"Mo-Su 00:00-03:00,18:00-24:00",False,https://www.55milano.com/menu-fissi/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_540813367,Il Gattopardo,https://www.ilgattopardomilano.com/,Via Piero della Francesca 47,Milano,45.4852331,9.1614442,nightclub,,,,,https://www.ilgattopardomilano.com/,,False,https://www.ilgattopardomilano.com/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_661079651,DrinKasi,https://drinkasi.webnode.it,Via Ascanio Sforza 9,Milano,45.4507082,9.1779486,pub,,,,,https://drinkasi.webnode.it,Mo-Su 18:00-02:00,False,https://drinkasi.webnode.it,error,2026-05-30T20:43:55.019300+00:00
direct_website,osm_702123543,Bhangrabar,https://bhangrabar.it/,Corso Sempione 1,Milano,45.4762187,9.1713186,pub,,,,,https://bhangrabar.it/,"Mo-Su 18:00-02:00; Dec 24,25,31 off",False,https://bhangrabar.it/aperitivo-milano/bhangra-bar-milano-aperitivo-cocktail-et-ambiance-unique/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_702123819,Deseo,https://www.deseomilano.com/,Piazza Sempione 8,Milano,45.4765344,9.1716956,bar,,,,+39 02 315164,https://www.deseomilano.com/,,False,https://www.deseomilano.com/menu/Menu.pdf,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_702128300,Pils Pub,https://www.pilspub.com/,Via Agostino Bertani 2,Milano,45.4773077,9.1746406,bar,,,,+39 02 34592858,https://www.pilspub.com/,,False,https://dishcovery.menu/app/restaurants/1118decaa8da86715ae5da882d7d759c/a-la-carte-menu,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_702128708,Living,https://www.livingmilano.com/,Piazza Sempione 2,Milano,45.4763635,9.173164,bar,,,,,https://www.livingmilano.com/,,False,https://www.livingmilano.com/cocktail/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_746951476,King's Pub,https://kingspub.it/,Alzaia Naviglio Pavese 8,Milano,45.4513229,9.1776869,pub,,,,+39028361264,https://kingspub.it/,Mo-Fr 18:00-02:00; Sa 16:00-02:00; Su 12:00-02:00,False,https://kingspub.it/food-drink/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_1003136479,Shatar Pub,http://www.shatarpub.com,Via Daniele Ricciarelli 8,Milano,45.4726581,9.1429735,pub,,,,+393662528078,http://www.shatarpub.com,,False,http://www.shatarpub.com,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_1189928796,Lost in Town,http://www.lostintown-milano.com/,Via Piero della Francesca 38,Milano,45.4839367,9.1640319,bar,,,,,http://www.lostintown-milano.com/,,False,http://www.lostintown-milano.com/,error,2026-05-30T20:43:55.019300+00:00
direct_website,osm_1285244654,Bar Bianco,https://www.barbiancomilano.com/,Viale Ibsen 4,Milano,45.4735526,9.1775313,bar,,,,,https://www.barbiancomilano.com/,Mo-Su 09:00-22:00,False,https://www.barbiancomilano.com/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_1679695858,Harp Pub Guinness,https://harppubguinness.eatbu.com,Piazza Leonardo da Vinci 10,Milano,45.4772546,9.2255218,pub,,,,+39 02 36686194,https://harppubguinness.eatbu.com,"Mo-Fr 11:00-24:00; Sa 00:00-01:00, 18:00-24:00; Su 00:00-01:00",False,https://cdn.website.dish.co/media/5d/e2/4446578/Menu-Rhum.pdf,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_1853370614,Rita's Tikiroom,https://www.ritastikiroom.com/it/,Ripa di Porta Ticinese 69,Milano,45.4504917,9.1695248,bar,,,,+390283555017,https://www.ritastikiroom.com/it/,Tu-Su 18:00-02:00; Mo off,False,https://www.ritastikiroom.com/it/menu/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_1922469810,Banshee,http://www.banshee.pub/,Piazzale Supercortemaggiore 2,San Donato Milanese,45.4204047,9.2585807,pub,,,,,http://www.banshee.pub/,,False,http://www.banshee.pub/cocktail-bar/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_2093480255,Spiller,https://spillerbirrerie.it,,Milano,45.4911256,9.1859892,pub,,,,,https://spillerbirrerie.it,,False,https://spillerbirrerie.it/menu/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_2106515265,Isola Della Birra,https://www.isoladellabirra.com/,Via Medardo Rosso 18,Milano,45.4897114,9.1853194,pub,,,,,https://www.isoladellabirra.com/,,False,https://www.isoladellabirra.com/,error,2026-05-30T20:43:55.019300+00:00
direct_website,osm_2150139029,Karma,http://www.karmamilano.it,Via Fabio Massimo 36,Milano,45.433041,9.2311594,nightclub,,,,+39 346 383 1499;+39 339 409 0542,http://www.karmamilano.it,,False,http://www.karmamilano.it,error,2026-05-30T20:43:55.019300+00:00
direct_website,osm_2219734555,Dito Divino,https://www.ditodivino.com/,Via Gaetano Negri 8,Milano,45.4652176,9.1840313,bar,,,,+39 02 89096532,https://www.ditodivino.com/,,False,https://www.ditodivino.com/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_2226485067,Gate,https://www.gatemilano.it/,Via Valtellina 21,Milano,45.4943778,9.1819083,nightclub,,,,,https://www.gatemilano.it/,,False,https://www.gatemilano.it/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_2226705938,Pico Brew Station,https://www.picobrew.it/,Via Ascanio Sforza 63,Milano,45.4451963,9.1766917,pub,,,,,https://www.picobrew.it/,"Su-Th 17:30-01:00, Fr,Sa 17:30-02:00",False,https://www.picobrew.it/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_2262460457,Spritz,https://www.leggimenu.it/menu/spritznaviglimilano,Ripa di Porta Ticinese 9,Milano,45.4519849,9.1765944,bar,,,,+390283390192,https://www.leggimenu.it/menu/spritznaviglimilano,Mo-Su 18:00-02:00,False,https://www.leggimenu.it/menu/spritznaviglimilano,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_2262460459,La Ringhiera,https://www.laringhierapub.it/,Ripa di Porta Ticinese 5,Milano,45.4520986,9.1772402,pub,,,,+390284193359,https://www.laringhierapub.it/,Mo-Su 15:30-02:00,False,https://laringhierapub.it/chi-siamo-cocktail-bar-navigli/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_2272639838,Tocqueville,http://www.tocqueville13.it/,Via Alessio di Tocqueville 13,Milano,45.4824121,9.1864777,nightclub,,,,+39 335 6819631,http://www.tocqueville13.it/,,False,http://www.tocqueville13.it/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_2272639841,11 Clubroom,https://www.11milano.it/,Via Alessio di Tocqueville 11,Milano,45.4824216,9.1868074,nightclub,,,,,https://www.11milano.it/,,False,https://www.11milano.it/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
direct_website,osm_2356391600,Spiller,https://www.spillerbirrerie.it/,Via Larga 8,Milano,45.4621982,9.1929566,bar,,,,+390238299987,https://www.spillerbirrerie.it/,,False,https://spillerbirrerie.it/menu/,ok_no_menu,2026-05-30T20:43:55.019300+00:00
