source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,phone,brand,venue_type,price_hints,vertical,has_menu,extraction_status,retrieved_at
anytimefitness,roma-rm-00199,"Anytime Fitness - Palestra a Roma (Libia), RM 00199",https://www.anytimefitness.it/palestra/it-0001/roma-rm-00199/,,Roma,41.8719,12.5674,,Anytime Fitness,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_43.5961_13.51298,Pineta Sport,,"Via Montagnola, 60127, Ancona",Ancona,43.5961036,13.5129806,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.55009_11.51441,Centro Sport Palladio,,,altro,45.5500869,11.5144133,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_46.02723_10.9712,Falesia S.Siro,,,altro,46.0272322,10.9712019,,,climbing_gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_43.21125_11.7349,"Circolo Tennis ""Savelli""",,,altro,43.2112499,11.734903,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.75139_10.33402,Palasprint,,,altro,44.7513929,10.3340185,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.08255_12.34682,Centro Sportivo,,,altro,45.0825461,12.3468193,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_46.38074_10.95993,Palestra di Roccia Sasias,,,altro,46.3807386,10.9599299,,,climbing_gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_43.74837_11.71597,Campo Sportivo di Strada in Casentino,,,altro,43.7483707,11.7159669,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_46.0596_10.96126,La Gola,,,altro,46.0595994,10.9612606,,,climbing_gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_46.05933_10.96708,Falesia La Gola - Pezzent Area,,,altro,46.0593264,10.9670808,,,climbing_gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.65595_11.77502,"Palazzetto dello Sport ""PALASalvatori""",,,altro,44.6559522,11.7750223,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_46.41648_11.67792,AC Fassa,,,altro,46.4164796,11.6779237,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.86497_10.88189,Busatte,,,altro,45.8649722,10.88189,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.5167_9.31179,Molinetto Country Club,,,altro,45.5166951,9.3117912,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.93187_13.60511,Circolo Tennis Campagnuzza,,,altro,45.9318692,13.6051107,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.93072_13.60275,Piscine Comunali,,"Via Capodistria, 34170, Gorizia",Gorizia,45.9307176,13.6027493,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.93271_13.6037,"Campo d'atletica ""Ernesto Fabretto""",,,altro,45.9327067,13.6036974,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.93755_13.59151,Palazzetto dello Sport PalaBigot,,,altro,45.9375509,13.5915091,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.94747_13.61842,Circolo Tennis Aldo Zaccarelli,,,altro,45.9474681,13.6184207,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.9475_13.62014,Palestra della Valletta del Corno,,,altro,45.9474973,13.6201379,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.93276_13.60519,Pala Brumatti,,"Via del San Michele, 34170, Gorizia",Gorizia,45.9327622,13.6051863,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_46.77238_11.94125,Kronplatz - Plan de Corones,,,altro,46.7723826,11.9412494,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.56915_12.14655,Piazzetta Don Giovanni Battista Mason,,,altro,45.5691483,12.146555,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.52844_11.4768,Polisportivo,,,altro,45.5284384,11.4767998,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.52995_11.47525,Piscine Leosport,,,altro,45.5299472,11.4752483,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_46.31494_10.79608,X Rafting,,"Palazzetto dello Sport,Via per Marilleva,Loc. Del, Via del Pressenach, 38020, Mezzana",Mezzana,46.3149446,10.7960813,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_43.6533_10.6361,Centro sportivo Bellaria,,,altro,43.6532997,10.6360964,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_41.72207_12.30258,Associazione Ostia in Bici XIII,,,altro,41.7220724,12.3025754,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.54479_9.18498,Il nuovo tempio del fitness,,,altro,45.5447902,9.1849825,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.54637_9.17663,Il regno del fitness,,,altro,45.5463667,9.1766253,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.59724_9.87987,Kayak Canoa Club Palazzolo,,,altro,45.5972419,9.8798719,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
