source_platform,source_venue_id,venue_name,venue_url,menu_section,item_name,item_description,raw_price,normalized_price_eur,currency,price_type,item_type,normalized_product,confidence,allergens,retrieved_at,source_url
leggimenu,mealthietortona,Mealthie - Milano,https://www.leggimenu.it/menu/mealthietortona,,caffè espresso,,€1.30,1.3,EUR,menu,drink,espresso,high,,2026-05-31T09:14:42Z,https://www.leggimenu.it/menu/mealthietortona/263549
leggimenu,mealthietortona,Mealthie - Milano,https://www.leggimenu.it/menu/mealthietortona,,caffè macchiato,,€1.50,1.5,EUR,menu,drink,,high,,2026-05-31T09:14:42Z,https://www.leggimenu.it/menu/mealthietortona/263549
leggimenu,mealthietortona,Mealthie - Milano,https://www.leggimenu.it/menu/mealthietortona,,cappuccino,,€2.00,2.0,EUR,menu,drink,cappuccino,high,,2026-05-31T09:14:42Z,https://www.leggimenu.it/menu/mealthietortona/263549
leggimenu,mealthietortona,Mealthie - Milano,https://www.leggimenu.it/menu/mealthietortona,,cappuccino latte vegetale,"latte di soia, latte di mandorla, latte di cocco",€2.30,2.3,EUR,menu,drink,cappuccino,high,,2026-05-31T09:14:42Z,https://www.leggimenu.it/menu/mealthietortona/263549
leggimenu,mealthietortona,Mealthie - Milano,https://www.leggimenu.it/menu/mealthietortona,,caffè marocchino,,€1.50,1.5,EUR,menu,drink,,high,,2026-05-31T09:14:42Z,https://www.leggimenu.it/menu/mealthietortona/263549
leggimenu,mealthietortona,Mealthie - Milano,https://www.leggimenu.it/menu/mealthietortona,,caffè decaffeinato,,€1.80,1.8,EUR,menu,drink,,high,,2026-05-31T09:14:42Z,https://www.leggimenu.it/menu/mealthietortona/263549
leggimenu,mealthietortona,Mealthie - Milano,https://www.leggimenu.it/menu/mealthietortona,,caffè americano,,€1.40,1.4,EUR,menu,drink,,high,,2026-05-31T09:14:42Z,https://www.leggimenu.it/menu/mealthietortona/263549
leggimenu,mealthietortona,Mealthie - Milano,https://www.leggimenu.it/menu/mealthietortona,,latte macchiato,,€2.50,2.5,EUR,menu,unknown,,high,,2026-05-31T09:14:42Z,https://www.leggimenu.it/menu/mealthietortona/263549
leggimenu,mealthietortona,Mealthie - Milano,https://www.leggimenu.it/menu/mealthietortona,,latte caldo,,€2.00,2.0,EUR,menu,unknown,,high,,2026-05-31T09:14:42Z,https://www.leggimenu.it/menu/mealthietortona/263549
leggimenu,mealthietortona,Mealthie - Milano,https://www.leggimenu.it/menu/mealthietortona,,ice coffee,,€2.50,2.5,EUR,menu,unknown,,high,,2026-05-31T09:14:42Z,https://www.leggimenu.it/menu/mealthietortona/263549
