source_platform,source_venue_id,venue_name,venue_url,menu_section,item_name,item_description,raw_price,normalized_price_eur,currency,price_type,item_type,normalized_product,confidence,allergens,retrieved_at,source_url
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Special Burger,"American Burger (opzione double + € 4,00)","American Buns,1ll, Pomodoro, Cipolla Caramellata, Insalata Iceberg, Cheddar, Cetrioli & Salsa gourmet ""CORNER"" Accompagnato da patate fritte Dipper","16,50 €",16.5,EUR,menu,food,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,"American Burger (opzione double + € 4,00)",Special burger,,18 €,18.0,EUR,menu,food,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Pizze classiche,"Margherita (aggiunta Burrata € 4.00 , crudo di Parma € 3.00)","Pomodoro, Mozzarella fior di Latte, Basilico, Olio E.V.O.",8 €,8.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Pizze classiche,"Bufalona (aggiunta Crudo di Parma 24 mesi, e o Alici del Cantabrico € 3.00)","Pomodoro, Mozzarella di Bufala Campana D.O.P. , Basilico, Olio E.V.O.",12 €,12.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Pizze classiche,Salsiccia e friarielli,"Mozzarella Fior di Latte, salsiccia di Norcia, Friarielli, Provola affumicata, Olio E.V.O",12 €,12.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Salsiccia e friarielli,Prosciutto Cotto e Funghi (Aggiunta Burrata € 4.00),"Pomodoro, Mozzarella Fior di Latte, Prosciutto Cotto, Basilico, Funghi champignon Freschi, Olio E.V.O","10,50 €",10.5,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Prosciutto Cotto e Funghi (Aggiunta Burrata € 4.00),Non fare la Capricciosa,"Pomodoro, Mozzarella Fior di Latte, Prosciutto Cotto, Olive Taggiasche, Carciofi, funghi Champignon Freschi, Capperi, Basilico",12 €,12.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Non fare la Capricciosa,Vegetariana (Aggiunta Burrata € 3.50),"Pomodoro, Mozzarella fior di Latte, Zucchine e melanzane grigliate, pomodorini rossi e gialli, nuvole di ricotta fresca, Basilico, Olio E.V.O","11,50 €",11.5,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Vegetariana (Aggiunta Burrata € 3.50),Tonno e cipolla di Tropea (Aggiunta Stracciatella € 4.00),"Pomodoro, mozzarella fior di Latte, Tonno pinne Gialle, Cipolla di Tropea, Capperi, Basilico, Olio E.V.O.","12,50 €",12.5,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Pizze Gourmet,Cantabrica,"Impasto multicereali, Pomodoro, Stracciatella, Pomodorini Gialli, filetti di Alici del Cantabrico","13,50 €",13.5,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Cantabrica,Crudo & Burrata,"Mozzarella fior di latte, Crudo di Parma stagionato 24mesi, Pomodoro, Rucola, Burrata, scaglie di Grana, Basilico",14 €,14.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Crudo & Burrata,Melanzane della nonna,"Pomodoro, Mozzarella fior di Latte, Melanzane a funghetto Fritte, nuvole di Ricotta Fresca, Pomodorini datterini, Olive taggiasche, Capperi, Origano, Basilico, Olio E.V.O","13,50 €",13.5,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Melanzane della nonna,Capri,"Pomodoro, Mozzarella fior di Latte, Alici del Cantabrico, Pomodorini rossi, Olive taggiasche, Capperi, Origano, Basilico, Olio E.V.O.","12,50 €",12.5,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Capri,Calabra,"Pomodoro, ,mozzarella Fior di Latte, spianata Calabra, olive Taggiasche, cipolle di Tropea, 'Nduja di Spilinga, Nuvola di ricotta Fresca, Basilico.",14 €,14.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Calabra,Capitale,"Pomodoro, guanciale, pomodorini rossi e gialli, Pecorino Romano, Basilico, Olio E.V.O","12,50 €",12.5,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Capitale,Mortazza,"Mozzarella fior di Latte, Rucola, Mortadella al Pistacchio, Burrata, granella di Pistacchi, Topping al Pesto di Basilico D.O.P.",14 €,14.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Mortazza,Chips di zucchine (Vegetariana),"Impasto Multicereali, Mozzarella fior di Latte, Pomodorini, Olive taggiasche, Pesto, nuvole di Ricotta, chips di Zucchine.","13,50 €",13.5,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Chips di zucchine (Vegetariana),Norcia,"Mozzarella fior di Latte, Gorgonzola D.O.P, provola affumicata, Salsiccia di Norcia, Funghi Porcini","13,50 €",13.5,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Cocktails,"Spritz ( Aperol, Campari, Select, Prosecco, Soda",,8 €,8.0,EUR,menu,drink,spritz,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,"Spritz ( Aperol, Campari, Select, Prosecco, Soda",Negroni Sbagliato/Americano,"Vermouth, Campari, Prosecco",10 €,10.0,EUR,menu,drink,negroni,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Negroni Sbagliato/Americano,Negroni Alpino,"Bitter e Vermouth artigianale delle Alpi, Gin Alpino, Acque Verdi",12 €,12.0,EUR,menu,drink,negroni,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Negroni Alpino,Gin Tonic,"Hendrick's, Portofino, Gin Mare, Monkey, Tanqueray Ten, Tanqueray, Professore, Giass Milano, Gin Alpino","10,14 €",10.14,EUR,menu,drink,gin_tonic,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Gin Tonic,Moscow/London Mule,"Vodka/Gin, Succo di Lime, Ginger Beer",10 €,10.0,EUR,menu,drink,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Moscow/London Mule,Mojito,"Rhum, Menta, Succo di Lime, Zucchero, Soda",10 €,10.0,EUR,menu,drink,mojito,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Mojito,Tommy's Margarita,"Tequila, Succo di Lime, Sciroppo d'Agave",10 €,10.0,EUR,menu,drink,margarita,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Tommy's Margarita,Basil Smash,"Gin, Succo di Lime, Zucchero, Basilico, Ginger Beer",10 €,10.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Basil Smash,Wodka Sour Maracuja,"Wodka, Sweet'n Sour, Sciroppo di Maracuja, Maracuja",10 €,10.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Wodka Sour Maracuja,Sex on the Beach,"Vodka, Liquore alla Pesca, Succo di Arancia, Granatina",10 €,10.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Sex on the Beach,Margarita,"Tequila, Triple Sec, Lime, Sale",10 €,10.0,EUR,menu,drink,margarita,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Birre alla spina,"Bionda italiana "" Menabrea""",,6 €,6.0,EUR,menu,drink,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,"Bionda italiana "" Menabrea""","Rossa Italiana "" Moretti """,,6 €,6.0,EUR,menu,drink,beer_moretti,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,"Rossa Italiana "" Moretti ""","IPA ""Artigianale""",,6 €,6.0,EUR,menu,drink,beer_bottle,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,"IPA ""Artigianale""","Birra ""Messina cristalli di Sale ""","Bottiglia 0,50 cl",5 €,5.0,EUR,menu,drink,beer_bottle,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,"Birra ""Messina cristalli di Sale ""","Birra ""Raffo""",Bottiglia 33 cl,4 €,4.0,EUR,menu,drink,beer_bottle,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,"Birra ""Raffo""","Birra ""Icnusa non filtrata""",Bottiglia 50 cl,5 €,5.0,EUR,menu,drink,beer_bottle,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Bevande,Acqua naturale e gasata,,3 €,3.0,EUR,menu,drink,water,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Acqua naturale e gasata,Bibite,"Coca cola,Fanta,Sprite,Lemon Soda,Acqua tonica,Estathè limone e Pesca","3,50 €",3.5,EUR,menu,drink,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Bibite,Succhi di frutta,"Arancia,Pompelmo,Ananas,Pesca",5 €,5.0,EUR,menu,drink,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Vini Rossi,"Rosso Piceno Doc "" Corner ""- MARCHE 14% vol.","Cantina Fontezoppa Ottenuto da uva Sangiovese e Montepulciano, si presenta con un colore Rubino Rosso Intenso e di buona consistenza. Note in apertura fruttate - partendo dalla ciliegia matura - e speziate, fino alla liquirizia. Anche il gusto è ricco di spezie, con un finale lungo e tannino morbido. Ottimo con i primi di carne e con i secondi di carne rossa.",20 €,20.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
