source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at
menudigitale,www.menudigitale.io/dgffh/,Mantra Milano,https://www.menudigitale.io/dgffh/?lang=it,,,,,,,,,,,,True,https://www.menudigitale.io/dgffh/?lang=it,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/ristorantemamaliga/,RISTORANTE MAMALIGA,https://www.menudigitale.io/ristorantemamaliga/?lang=it,,,,,,,,,,,,True,https://www.menudigitale.io/ristorantemamaliga/?lang=it,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/pfhug/,Da Totó Pizzeria,https://www.menudigitale.io/pfhug/?lang=it,,,,,,,,,,,,True,https://www.menudigitale.io/pfhug/?lang=it,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/sgzpq/,E' TUTTA N'ATA STORIA,https://www.menudigitale.io/sgzpq/?lang=it,,,,,,,,,,,,True,https://www.menudigitale.io/sgzpq/?lang=it,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/shepv,Binario 1,https://www.menudigitale.io/shepv,28 - La Piazza (A Chiazz),,,,,,,,,,,True,https://www.menudigitale.io/shepv,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/gcupg/,The Good Wine,https://www.menudigitale.io/gcupg/?lang=it,,,,,,,,,,,,True,https://www.menudigitale.io/gcupg/?lang=it,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/zmykg,THANK'S,https://www.menudigitale.io/zmykg,,,,,,,,,,,,True,https://www.menudigitale.io/zmykg,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/vapbm,La Cucina del Beccari,https://www.menudigitale.io/vapbm,,,,,,,,,,,,True,https://www.menudigitale.io/vapbm,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/mkafg/,Il Pizzicante,https://www.menudigitale.io/mkafg/?lang=it,,,,,,,,,,,,True,https://www.menudigitale.io/mkafg/?lang=it,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/dsxvd,Radici Cocktails & Beer,https://www.menudigitale.io/dsxvd,,,,,,,,,,,,True,https://www.menudigitale.io/dsxvd,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/ristorante-bar-pizzeria-gelateria,RISTORANTINO ITALIANO,https://www.menudigitale.io/ristorante-bar-pizzeria-gelateria/,"Viale Bernini, 3 47843 Misano Adriatico (Rn)",,,,,,,,,,,True,https://www.menudigitale.io/ristorante-bar-pizzeria-gelateria/,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/xfcpv,Bar e Pizzeria,https://www.menudigitale.io/xfcpv,,,,,,,,,,,,True,https://www.menudigitale.io/xfcpv,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/fwzua,Caffè Centrale,https://www.menudigitale.io/fwzua/,,,,,,,,,,,,True,https://www.menudigitale.io/fwzua/,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/xapsv,LA BOTTEGA DEI VIZIATI,https://www.menudigitale.io/xapsv,"Corso Roma, 28, 03036 Isola del Liri FR, Italia",,,,,,,,,,,True,https://www.menudigitale.io/xapsv,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/dzcat,Cafè | Leggi il Menu Digitale di Morandi Cafè,https://www.menudigitale.io/dzcat/,Via Emilia 137 Cadeo 29010 PC,,,,,,,,,,,True,https://www.menudigitale.io/dzcat/,filtered_out,2026-05-31T09:36:33Z
menudigitale,www.menudigitale.io/drcub,DIMORA SOVRANA,https://www.menudigitale.io/drcub/,,,,,,,,,,,,True,https://www.menudigitale.io/drcub/,filtered_out,2026-05-31T09:40:52Z
menudigitale,www.menudigitale.io/uuqpx,Mascolo,https://www.menudigitale.io/uuqpx/,,,,,,,,,,,,True,https://www.menudigitale.io/uuqpx/,filtered_out,2026-05-31T09:40:52Z
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,"Via Guido Cavalcanti, 2, 20125 Milano MI, Italia",Milano,45.4827,9.1862,,,,,,,,True,https://www.menudigitale.io/smhum,ok,2026-05-31T09:40:52Z
menudigitale,www.menudigitale.io/ristorante-dk33,Dk33,https://www.menudigitale.io/ristorante-dk33/,Via Nomentana 333,,,,,,,,,,,True,https://www.menudigitale.io/ristorante-dk33/,filtered_out,2026-05-31T09:40:52Z
