venue_id,venue_name,source_url,menu_section,item_name,item_description,raw_price,normalized_price_eur,currency,item_type,normalized_product,confidence,retrieved_at
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,GRANDI CLASSICI,Campari Spritz,"Campari, Prosecco, Seltz",,,,drink,spritz,high,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,GRANDI CLASSICI,Americano,"Campari, Cinzano Vermouth Rosso, Seltz",,,,drink,americano,high,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,GRANDI CLASSICI,Negroni,"Campari, 1757 Vermouth di Torino, Bulldog Gin",,,,drink,negroni,high,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,COCTELES,Guadalupa Zen,"Se strippi per lo zenzero, questo è il tuo cocktail. (Gin Tanqueray, Zenzero fresco, Succo di lime, Acqua tonica, Menta)",10,10.0,EUR,drink,,low,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,COCTELES,Acapulco Shore,"1% alcool 99% tropico del Capricorno. Stay fresh, Stay shiny. (Arancio, Ananas, Succo di lime, Moscovado, Ginger ale, Angostura, Menta)",7,7.0,EUR,drink,,low,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,COCTELES,Margarita Diablita,"Tequila Espolon infusa al chili Jalapeño, Succo di lime e Triple Sec",10,10.0,EUR,drink,margarita,high,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,BIRRA ALLA SPINA,"Cerveza Chihuahua 0,4",,5,5.0,EUR,drink,,low,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,BIRRA ALLA SPINA,"Cerveza Chihuahua 0,2",,2.5,2.5,EUR,drink,,low,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,ENTRADAS,NACHOS CHIHUAHUA (gluten free),"Nachos artigianali con formaggio blanco, formaggio fuso, jalapeños sott’aceto, guacamole, crema di fagioli neri messicani, pico de gallo e crème fraîche",9,9.0,EUR,non_drink,,low,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,ENTRADAS,NACHOS CAMPESIÑOS (gluten free&vegan),"Nachos artigianali, crema di fagioli neri al cumino, guacamole, succo e scorza di lime, pico de gallo, crema di mais, mix di chili sott’aceto",9,9.0,EUR,non_drink,,low,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,ENTRADAS,GUACAMOLE E NACHOS (gluten free&vegan),Guacamole di avocado Hass condita con lime e sale e accompagnata dagli immancabili nachos,10,10.0,EUR,non_drink,,low,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,TACOS (3 TACOS CON TORTILLAS DI MAIS DA 12 CM),CARNITA (gluten free),"Coscia di maiale “Michoacán style”, salsa roja, arancia, coriandolo, ravanelli e jalapeños sott’aceto",13,13.0,EUR,non_drink,,low,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,TACOS (3 TACOS CON TORTILLAS DI MAIS DA 12 CM),BARBACOA (gluten free),"Agnello cotto in adobo, salsa borracha, coriandolo e crema.",13,13.0,EUR,non_drink,,low,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,TACOS (3 TACOS CON TORTILLAS DI MAIS DA 12 CM),POLLITO (gluten free),"Coscia di pollo al chile Achote e paprika, salsa roja, formaggio fresco, marmellata di chile jalapeños e coriandolo",13,13.0,EUR,non_drink,,low,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,TACOS DORADOS (2 tostadas con tortillas di Mais da 12 Cm),DORADO DE AVOCADO (gluten free),"Avocado a fette, cavolo viola, guacamole, pico de fruta, lattuga, lime, coriandolo, cipolla rossa sott’aceto",10,10.0,EUR,non_drink,,low,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,TACOS DORADOS (2 tostadas con tortillas di Mais da 12 Cm),DORADO DE CAMARONES (gluten free),"Gamberi alla plancha, cavolo viola, crema di mais, lattuga, pico de fruta, mayo di chile morita, coriandolo, lime, cipolla bianca e semi di zucca",10,10.0,EUR,drink,,low,2026-05-30T17:19:04.708535+00:00
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,TACOS DORADOS (2 tostadas con tortillas di Mais da 12 Cm),DORADO DE POLLITO (gluten free),"Pollo al forno speziato e marinato, lattuga, mayo di chile jalapenos, cavolo viola, funghi alla piastra, pico de gallo, salsa rossa, lime e coriandolo",10,10.0,EUR,non_drink,,low,2026-05-30T17:19:04.708535+00:00
FevXZ8B5O,20,https://www.mycia.it/menu/milano/20-FevXZ8B5O,APERITIVI,Campari Spritz,"Campari, Prosecco, Seltz",,,,drink,spritz,high,2026-05-30T17:19:11.056151+00:00
FevXZ8B5O,20,https://www.mycia.it/menu/milano/20-FevXZ8B5O,APERITIVI,Americano,"Campari, Cinzano Vermouth Rosso, Seltz",,,,drink,americano,high,2026-05-30T17:19:11.056151+00:00
FevXZ8B5O,20,https://www.mycia.it/menu/milano/20-FevXZ8B5O,APERITIVI,Aperol Spritz,"Aperol, Prosecco Cinzano, Seltz",,,,drink,spritz,high,2026-05-30T17:19:11.056151+00:00
FevXZ8B5O,20,https://www.mycia.it/menu/milano/20-FevXZ8B5O,BIRRA ALLA SPINA,Oberbrau,piccola,4,4.0,EUR,drink,,low,2026-05-30T17:19:11.056151+00:00
FevXZ8B5O,20,https://www.mycia.it/menu/milano/20-FevXZ8B5O,BIRRA ALLA SPINA,Konig Ludwing,media,6,6.0,EUR,drink,,low,2026-05-30T17:19:11.056151+00:00
FevXZ8B5O,20,https://www.mycia.it/menu/milano/20-FevXZ8B5O,BIRRA ALLA SPINA,Konig Ludwing,piccola,4,4.0,EUR,drink,,low,2026-05-30T17:19:11.056151+00:00
5vb7YsraC,Agua Sancta,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,GRANDI CLASSICI,Americano,"Campari, Cinzano Vermouth Rosso, Seltz",,,,drink,americano,high,2026-05-30T17:19:31.112920+00:00
5vb7YsraC,Agua Sancta,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,GRANDI CLASSICI,Negroni,"Campari, 1757 Vermouth di Torino, Bulldog Gin",,,,drink,negroni,high,2026-05-30T17:19:31.112920+00:00
5vb7YsraC,Agua Sancta,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,GRANDI CLASSICI,Old Fashioned,"Wild Turkey 101, Aromatic Bitter, Zolletta di zucchero, Splash soda",,,,drink,,low,2026-05-30T17:19:31.112920+00:00
5vb7YsraC,Agua Sancta,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,MARGARITAS,Agua Sancta,"Tequila Don Julio agli agrumi, triple sec, lime, agave",10,10.0,EUR,non_drink,,low,2026-05-30T17:19:31.112920+00:00
