venue_id,venue_name,venue_url,menu_url,address,city,latitude,longitude,categories,price_tier,rating,opening_hours,extraction_status,source_provider,retrieved_at
tBHgJ7iPU,Chihuahua Tacos,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,"Viale Col di Lana, 1, Milano, Italia",Milano,45.4523334,9.181953,"Cocktail Bar, Opzioni Senza Glutine, Ristorante",€€,,Lunedì Chiuso | Martedì 12:00 - 15:00 / 18:30 - 23:00 | Mercoledì 12:00 - 15:00 / 18:30 - 23:00 | Giovedì 12:00 - 15:00 / 18:30 - 23:00 | Venerdì 12:00 - 15:00 / 18:30 - 00:00 | Sabato 12:00 - 15:00 / 18:30 - 00:00 | Domenica 12:00 - 15:00 / 18:30 - 23:00,ok_with_menu,mycia,2026-05-30T17:19:04.702055+00:00
44fb812c6,Locatelli MIlano,https://www.mycia.it/menu/milano/locatelli-milano-44fb812c6,https://www.mycia.it/menu/milano/locatelli-milano-44fb812c6,"Via Manfredo Camperio, 15, 20121 Milano MI, Italia",Milano,45.4673775,9.1825876,Ristorante,€€,,Lunedì 12:30 - 14:30 / 19:30 - 22:30 | Martedì 12:30 - 14:30 / 19:30 - 22:30 | Mercoledì 12:30 - 14:30 / 19:30 - 22:30 | Giovedì 12:30 - 14:30 / 19:30 - 22:30 | Venerdì 12:30 - 14:30 / 19:30 - 22:30 | Sabato 19:30 - 22:30 | Domenica Chiuso,filtered_out,mycia,2026-05-30T17:19:04.881074+00:00
N91z6AOLQ,Ristorante Africa,https://www.mycia.it/menu/milano/ristorante-africa-N91z6AOLQ,https://www.mycia.it/menu/milano/ristorante-africa-N91z6AOLQ,"Via Lazzaro Palazzi, 9, 20124 Milano, Milano MI, Italia",Milano,45.4766271,9.2047564,Ristorante,€€,,Lunedì 08:00 - 23:45 | Martedì 08:00 - 23:45 | Mercoledì 08:00 - 23:45 | Giovedì 08:00 - 23:45 | Venerdì 08:00 - 23:45 | Sabato 08:00 - 23:45 | Domenica 08:00 - 23:45,filtered_out,mycia,2026-05-30T17:19:06.418787+00:00
8958128eb,101 Tarantella Pizzeria Bistrot,https://www.mycia.it/menu/milano/101-tarantella-pizzeria-bistrot-8958128eb,https://www.mycia.it/menu/milano/101-tarantella-pizzeria-bistrot-8958128eb,"Via Panfilo Castaldi, 17, 20124 Milano MI, Italia",Milano,45.4772962,9.2018984,Pizzeria,€€,,Lunedì Chiuso | Martedì 10:30 - 15:30 / 18:30 - 23:00 | Mercoledì 10:30 - 15:30 / 18:30 - 23:00 | Giovedì 10:30 - 15:30 / 18:30 - 23:00 | Venerdì 10:30 - 15:30 / 18:30 - 23:00 | Sabato 10:30 - 15:30 / 18:30 - 23:00 | Domenica 10:30 - 15:30 / 18:30 - 23:00,filtered_out,mycia,2026-05-30T17:19:07.961064+00:00
zQuqYE9va,13pizza&ammore,https://www.mycia.it/menu/milano/13pizza-ammore-zQuqYE9va,https://www.mycia.it/menu/milano/13pizza-ammore-zQuqYE9va,"Via Ascanio Sforza, 29, 20136 Milano MI, Italia",Milano,45.449355,9.1777394,"Pizzeria, Ristorante Pizzeria",€€,,Lunedì Chiuso | Martedì 12:00 - 15:00 / 19:00 - 23:30 | Mercoledì 12:00 - 15:00 / 19:00 - 23:30 | Giovedì 12:00 - 15:00 / 19:00 - 23:30 | Venerdì 12:00 - 15:00 / 19:00 - 23:30 | Sabato 12:00 - 15:00 / 19:00 - 23:30 | Domenica 12:00 - 15:00 / 19:00 - 23:30,filtered_out,mycia,2026-05-30T17:19:09.501852+00:00
747f4e2a2,19.26 Bistrò,https://www.mycia.it/menu/milano/19-26-bistro-747f4e2a2,https://www.mycia.it/menu/milano/19-26-bistro-747f4e2a2,"Via Milazzo, 6, 20121 Milano MI, Italia",Milano,45.4791125,9.1877255,Ristorante,€€,,Lunedì 12:00 - 14:30 / 18:00 - 23:00 | Martedì 12:00 - 14:30 / 18:00 - 23:00 | Mercoledì 12:00 - 14:30 / 18:00 - 23:00 | Giovedì 12:00 - 14:30 / 18:00 - 23:00 | Venerdì 12:00 - 14:30 / 18:00 - 23:00 | Sabato 12:00 - 14:30 / 18:00 - 23:00 | Domenica 12:00 - 15:00 / 18:00 - 23:00,filtered_out,mycia,2026-05-30T17:19:11.043763+00:00
FevXZ8B5O,20,https://www.mycia.it/menu/milano/20-FevXZ8B5O,https://www.mycia.it/menu/milano/20-FevXZ8B5O,"Via Celestino IV, 9, Milan, Metropolitan City of Milan, Italy",Milano,45.4596054,9.1821442,CASUAL COCKTAIL BAR,€,,Lunedì 07:00 - 16:00 | Martedì 07:00 - 01:00 | Mercoledì 07:00 - 01:00 | Giovedì 07:00 - 01:00 | Venerdì 07:00 - 01:00 | Sabato 07:00 - 01:00 | Domenica 18:00 - 01:00,ok_with_menu,mycia,2026-05-30T17:19:11.050241+00:00
651c8f03a,20 CM,https://www.mycia.it/menu/milano/20-cm-651c8f03a,https://www.mycia.it/menu/milano/20-cm-651c8f03a,"Viale Col di Lana, 8, 20136 Milano MI, Italia",Milano,45.4519688,9.1833395,Fast-Food,€€,,Lunedì 18:30 - 00:00 | Martedì 18:30 - 00:00 | Mercoledì 18:30 - 00:00 | Giovedì 18:30 - 00:00 | Venerdì 18:30 - 00:00 | Sabato 18:30 - 00:00 | Domenica 18:30 - 00:00,filtered_out,mycia,2026-05-30T17:19:12.595428+00:00
zBypRbDvZ,28 Posti,https://www.mycia.it/menu/milano/28-posti-zBypRbDvZ,https://www.mycia.it/menu/milano/28-posti-zBypRbDvZ,"Via Corsico, 1, 20144 Milano, Milano MI, Italia",Milano,45.4527281,9.1733466,Ristorante,€€€,,Lunedì Chiuso | Martedì 19:30 - 22:30 | Mercoledì 19:30 - 22:30 | Giovedì 19:30 - 22:30 | Venerdì 19:30 - 22:30 | Sabato 19:30 - 22:30 | Domenica Chiuso,filtered_out,mycia,2026-05-30T17:19:14.135181+00:00
kOmU70jRD,A TAVOLA,https://www.mycia.it/menu/milano/a-tavola-kOmU70jRD,https://www.mycia.it/menu/milano/a-tavola-kOmU70jRD,"Largo Settimio Severo, 1, 20144 Milano, MI, Italia",Milano,45.4660884,9.1624924,"Bistrot, Cafè",€€,,Lunedì 07:00 - 20:30 | Martedì 07:00 - 20:30 | Mercoledì 07:00 - 20:30 | Giovedì 07:00 - 20:30 | Venerdì 07:00 - 21:00 | Sabato 08:00 - 21:00 | Domenica 09:00 - 20:30,filtered_out,mycia,2026-05-30T17:19:15.674962+00:00
