venue_name,lat,lon,amenity,leisure,sport,website,phone,addr_street,addr_city,addr_postcode,opening_hours,brand,operator
Pineta Sport,43.5961036,13.5129806,,sports_centre,multi,,,Via Montagnola,Ancona,60127,,,
Centro Sport Palladio,45.5500869,11.5144133,,sports_centre,multi,,,,,,,,
Falesia S.Siro,46.0272322,10.9712019,,sports_centre,climbing,,,,,,,,
"Circolo Tennis ""Savelli""",43.2112499,11.734903,,sports_centre,tennis,,,,,,,,
Palasprint,44.7513929,10.3340185,,fitness_centre,,,,,,,,,
Centro Sportivo,45.0825461,12.3468193,,sports_centre,,,,,,,,,
Palestra di Roccia Sasias,46.3807386,10.9599299,,sports_centre,climbing,,,,,,,,
Campo Sportivo di Strada in Casentino,43.7483707,11.7159669,,sports_centre,,,,,,,,,
La Gola,46.0595994,10.9612606,,sports_centre,climbing,,,,,,,,
Falesia La Gola - Pezzent Area,46.0593264,10.9670808,,sports_centre,climbing,,,,,,,,
"Palazzetto dello Sport ""PALASalvatori""",44.6559522,11.7750223,,sports_centre,basketball;volleyball,,,,,,,,
AC Fassa,46.4164796,11.6779237,,sports_centre,tennis,,,,,,,,
Busatte,45.8649722,10.88189,,sports_centre,,,,,,,,,
Molinetto Country Club,45.5166951,9.3117912,,sports_centre,multi,,,,,,,,
Circolo Tennis Campagnuzza,45.9318692,13.6051107,,sports_centre,tennis,,,,,,,,
Piscine Comunali,45.9307176,13.6027493,,sports_centre,swimming,,,Via Capodistria,Gorizia,34170,,,A.S Gorizia Nuoto
"Campo d'atletica ""Ernesto Fabretto""",45.9327067,13.6036974,,sports_centre,athletics,,,,,,,,
Palazzetto dello Sport PalaBigot,45.9375509,13.5915091,,sports_centre,basketball,,,,,,,,
Circolo Tennis Aldo Zaccarelli,45.9474681,13.6184207,,sports_centre,tennis,,,,,,,,
Palestra della Valletta del Corno,45.9474973,13.6201379,,sports_centre,skating,,,,,,,,
Pala Brumatti,45.9327622,13.6051863,,sports_centre,multi,,,Via del San Michele,Gorizia,34170,,,
Kronplatz - Plan de Corones,46.7723826,11.9412494,,sports_centre,skiing,,,,,,,,
Piazzetta Don Giovanni Battista Mason,45.5691483,12.146555,,sports_centre,basketball,,,,,,,,
Polisportivo,45.5284384,11.4767998,,sports_centre,,,,,,,,,
Piscine Leosport,45.5299472,11.4752483,,sports_centre,swimming,,,,,,,,
X Rafting,46.3149446,10.7960813,,sports_centre,canoe;rafting,,,"Palazzetto dello Sport,Via per Marilleva,Loc. Del, Via del Pressenach",Mezzana,38020,,,
Centro sportivo Bellaria,43.6532997,10.6360964,,sports_centre,,,,,,,,,
Associazione Ostia in Bici XIII,41.7220724,12.3025754,,sports_centre,,,,,,,,,
Il nuovo tempio del fitness,45.5447902,9.1849825,,fitness_centre,fitness,,,,,,,,
Il regno del fitness,45.5463667,9.1766253,,fitness_centre,fitness,,,,,,,,
Kayak Canoa Club Palazzolo,45.5972419,9.8798719,,sports_centre,canoe,,,,,,,,
Palestra comunale,45.8357344,8.7834919,,sports_centre,gymnastics,,,,,,,,
Sailing Team Bracciano,42.1175667,12.1761244,,sports_centre,sailing,,,,,,,,
Sporting,41.2492547,16.426254,,sports_centre,multi,,,,,,,,
Palazzetto dello sport,41.4986084,15.3399436,,sports_centre,,,,,,,,,
Pool 5,45.629393,12.165345,,sports_centre,swimming,,,,,,,,
Polivalente,41.2146059,16.290633,,sports_centre,swimming,,,,,,,,
Piscina comunale Cologno Monzese,45.5331772,9.2884219,,sports_centre,swimming,,,,,,,,
Turnhalle,46.6918385,11.1536533,,sports_centre,multi,,,,,,,,
Palestra Living,45.9845883,13.2027165,,sports_centre,,,,,,,,,
Palazzetto dello Sport,42.3494884,14.4012731,,sports_centre,basketball,,,,,,,,
"Centro Ippico ""Teaterno""",42.38607,14.1406256,,sports_centre,equestrian,,,,,,,,
Duel,42.5123509,14.1554124,,fitness_centre,,,,,,,,,
Palestra Andrea Massucchi,45.2509088,8.7488319,,sports_centre,,,,,,,,,
Centro Fondo Viote,46.0205649,11.0422601,,sports_centre,multi,,+390461948032,Strada delle Caserme,Trento,38123,Mo-Su 08:30-17:00,,
Villaggio Rock,44.5259195,10.2762459,,sports_centre,swimming,www.villaggiorock.it,+39 0521 846637,,,,,,
Stickl Sport Camp,45.746677,10.7997993,,sports_centre,,https://www.stickl.com/,,,,,,,
Kite Club Malcesine,45.8044157,10.8431397,,sports_centre,kitesurfing,,,,,,,,
Campo di Tiro Target Club,39.9896836,15.9537259,,sports_centre,shooting,,,,,,,,
Maneggio,39.9685346,15.9395472,,sports_centre,equestrian,,,,,,,,
Canoa Club Lao Pollino,39.9609921,15.9788321,,sports_centre,canoe,,,,,,,,
Lao Canyon Rafting,39.9576968,15.9763436,,sports_centre,canoe,,,,,,,,
Torrioni di Sciarborasca,44.4090372,8.6079056,,sports_centre,climbing,,,,,,,,
MOVELAB ASD,38.0998043,13.3332291,,sports_hall,fitness,https://www.movelabstudio.it/,+39 091 420478,Via Salvatore Bertini,Palermo,90129,Mo-Fr 10:00-13:00 16:00 - 20:00,,
Valente,41.2565785,16.4139523,,sports_centre,multi,,,,,,,,
Tempo Libero,41.2617197,16.4064696,,sports_centre,soccer,,,,,,,,
Centro Sportivo Solaro,43.8129161,7.7502813,,sports_centre,,,,,,,,,
Fast Fit 2,45.551505,10.788544,,sports_centre,,,,,,,,,
Centro Sportivo Pozzo Piano,41.2613845,16.4384674,,sports_centre,soccer,,,,,,,,
La Remuda,45.9607771,13.6139534,,sports_centre,equestrian,,,,,,,,
Life Planet,44.4264975,12.1867286,,sports_centre,gymnastics,,,,,,,,
Palazzetto dello Sport,42.7707278,12.5288009,,sports_centre,multi,,,,,,,,
Palestra Trim,46.0542905,11.1330226,,fitness_centre,,,,,,,,,
paragliding hanggliding start place,44.1526658,9.6695832,,sports_centre,free_flying,,,,,,,,
Quo Vadis,41.8654186,12.5072763,,sports_centre,tennis,,,,,,,,
Tennis Stella di Mare,39.2115448,9.3014296,,sports_centre,,,,,,,,,
Millegrobbe,45.935989,11.3201384,,sports_centre,skiing,,,,,,,,
Èlite,44.0017881,12.6349476,,fitness_centre,fitness,,,Viale Giulio Cesare,,,,,
Tennis Club,45.9172895,12.8444632,,sports_centre,tennis,,,,,,,,
Palestra comunale,43.7989043,10.5682899,,sports_centre,,,,,,,,,
Palestra Vital,44.6446002,8.6508353,,sports_centre,multi,,,,,,,,
C.U.S. Bari,41.136094,16.8448627,,sports_centre,,,,,,,,,
Bellini Fitness A.S.D.,45.2249761,11.6617978,,sports_centre,,,,Via Borgofuro,Este,,,,
La Danza,44.9932894,9.0075806,,sports_centre,gymnastics,,,,,,,,
Empire Gym,41.1008408,16.8649538,,sports_centre,gymnastics,https://www.empiregym.it/,+39 0805019036,Viale Luigi De Laurentis,Bari,70124,,,
Palestra Comunale - Gemeindehalle,46.4047098,11.3219928,,sports_centre,multi,,,,,,,,
ASD Cavallo & Natura,42.5856525,12.5726063,,sports_centre,equestrian,,,,,,,,
A.S. Lombardia Sport Club,45.5517829,9.1637024,,sports_centre,soccer,,+39 346 3083439,,,,,,
Cicas,42.0260689,12.8032136,,sports_centre,,,,,,,,,
