name,lat,lon,amenity,cuisine,website,phone
La Brasserie de Milan,45.4613015,9.1544733,restaurant,,,
Pogue Mahone's,45.4508118,9.2038694,pub,,,
La Mela Bianca,45.4885485,9.1653266,restaurant,italian;pizza,,
Victoria's,45.4910506,9.2390944,pub,,https://www.victoriasclub.it/,+39 02 36723167
Da Marco,45.4944919,9.221509,restaurant,pizza,,
La Corte della Risaia,45.4276441,9.1398034,restaurant,regional;italian,https://www.corterisaia.it/,+39 02 8918 1248
Radetzky Café,45.478435,9.1850522,bar,,https://www.radetzky.it/,+39 02 6572645
Scott Duff,45.4799222,9.1832687,pub,,https://scottduff.it/,+39 02 29002574
Volta Street,45.4785976,9.1842604,restaurant,,https://www.voltastreet.it/,+39 02 39669373
Bomaki,45.4781417,9.1842247,restaurant,japanese;brazilian,,+39 02 39663308
Denzel,45.464983,9.1554107,restaurant,,,
Ai Muciaccia,45.4600738,9.1564997,restaurant,pugliese,,+39 02 4800 0917
Qor,45.4626252,9.157709,restaurant,japanese,https://www.qor.it/,+3902463091
The Old Fox Pub,45.4588109,9.1707677,pub,,,+39 02 8940 2622
Trattoria Caprese,45.4667632,9.1521402,restaurant,pizza,,
Da Berti,45.4887909,9.1966345,restaurant,regional,https://www.daberti.it/,+39 02 6694627
Trattoria Casa Fontana - 23 risotti,45.4938118,9.1985901,restaurant,,https://www.23risotti.it/,
Il gatto e la volpe,45.4949167,9.198145,pub,,,
Barstrò,45.4950751,9.197087,cafe,,,
Nordest,45.4892417,9.1888269,pub,,,+39 02 6900 1910
Tempi moderni,45.5141993,9.208342,pub,,,
Bar Nilo,45.4887935,9.1943986,cafe,,http://www.barnilo.it/,
Starbucks,45.4882021,9.1953454,cafe,coffee_shop,https://www.starbucks.co.uk/store-locator/59651-293868/milano-restelli,
a Riccione,45.4944891,9.1959957,restaurant,seafood,https://www.ristoranteariccione.net/,+39 02 683807
Il Tombino,45.4609976,9.1528367,pub,,,
Bar Da Vinci,45.4809461,9.2252976,cafe,,,
Hop,45.4595392,9.2063699,pub,,,+39 02 39439821
Archimede Caffè Tabacchi,45.4656535,9.2213141,cafe,,,
Daniel,45.4786582,9.1892715,restaurant,italian,https://www.danielcanzian.it/,+39 02 63793837
Wizard,45.4504343,9.1692493,pub,,https://thewizardpub.wordpress.com/,
La Fontanella,45.4518037,9.1776743,pub,,,
Officina 12,45.4520568,9.1752912,restaurant,steak_house;italian;seafood;regional,https://www.officina12.it/,+39 02 89422261
Fabbrica,45.4507787,9.1692592,restaurant,pizza,https://www.fabbricapizzeriamilano.com/,+39 02 8358297
Bar Magenta,45.465692,9.175656,pub,italian,https://barmagenta.it/,+39028053808
Ristorante Bande Nere,45.4616601,9.1357832,restaurant,italian;pizza,https://pizzeria-ristorante-bande-nere.business.site/,+393396755915
Rifugio Delicatessen,45.4858994,9.168171,restaurant,,,
Club Decò,45.4866881,9.1670869,bar,,,
Il Giardino della Birra,45.4708645,9.2430698,restaurant,,,
Matricola,45.4757092,9.2233689,pub,,,
Osteria Ambrosiana,45.5172346,9.1917957,restaurant,,,
Blanco Café,45.4502065,9.1513149,cafe,,https://www.blancocaffemilano.com/,
