source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at
direct_website,bar_e_direzione_oratorio_454405355_91488237,Bar e Direzione Oratorio,,,Milano,45.4405355,9.1488237,,,,,+39 02 816793,,,False,,no_menu,2026-05-30T22:25:39Z
direct_website,pogue_mahone_s_454508118_92038694,Pogue Mahone's,,,Milano,45.4508118,9.2038694,,,,,,,,False,,no_menu,2026-05-30T22:25:39Z
direct_website,scott_duff_454799222_91832687,Scott Duff,https://scottduff.it/,Via Alessandro Volta 13 20121.0,Milano,45.4799222,9.1832687,,,,,+39 02 29002574,https://scottduff.it/,"Mo-Sa 16:30-02:00, Su 15:00-01:00",True,https://scottduff.it/,ok,2026-05-30T22:25:39Z
direct_website,the_old_fox_pub_454588109_91707677,The Old Fox Pub,,Via Cesare da Sesto 21 20123.0,Milano,45.4588109,9.1707677,,,,,+39 02 8940 2622,,,False,,no_menu,2026-05-30T22:25:39Z
direct_website,il_gatto_e_la_volpe_454949167_9198145,Il gatto e la volpe,,,Milano,45.4949167,9.198145,,,,,,,,False,,no_menu,2026-05-30T22:25:39Z
direct_website,nordest_454892417_91888269,Nordest,,Via Pietro Borsieri 35 20159.0,Milano,45.4892417,9.1888269,,,,,+39 02 6900 1910,,08:00 - 01:00,False,,no_menu,2026-05-30T22:25:39Z
direct_website,tempi_moderni_455141993_9208342,Tempi moderni,,Via Nicolò Fortiguerra 12,Milano,45.5141993,9.208342,,,,,,,Mo-Sa 06:00-20:00; Su 07:30-13:00,False,,no_menu,2026-05-30T22:25:39Z
direct_website,bar_nilo_454887935_91943986,Bar Nilo,http://www.barnilo.it/,Via Ippolito Rosellini 20124.0,Milano,45.4887935,9.1943986,,,,,,http://www.barnilo.it/,,False,,no_menu,2026-05-30T22:25:39Z
direct_website,starbucks_454882021_91953454,Starbucks,https://www.starbucks.co.uk/store-locator/59651-293868/milano-restelli,Viale Francesco Restelli 5 20124.0,Milano,45.4882021,9.1953454,,,,,,https://www.starbucks.co.uk/store-locator/59651-293868/milano-restelli,Mo-Fr 07:30-18:30; Sa-Su 08:00-19:00,True,https://www.starbucks.co.uk/store-locator/59651-293868/milano-restelli,ok,2026-05-30T22:25:39Z
direct_website,il_tombino_454609976_91528367,Il Tombino,,,Milano,45.4609976,9.1528367,,,,,,,,False,,no_menu,2026-05-30T22:25:39Z
